Instancia & training acc & test acc & training kappa &  test kappa & reduction & mean-time \\
iris & 0.9585 & 0.9000 & 0.9378 & 0.8500 & 0.9700 & 0.1097 \\
cleveland & 0.7003 & 0.5659 & 0.5024 & 0.2849 & 0.9465 & 0.2684 \\
led7digit & 0.7476 & 0.7300 & 0.7193 & 0.6992 & 0.9682 & 0.3557 \\
pima & 0.8132 & 0.7283 & 0.5688 & 0.3752 & 0.9405 & 0.7985 \\
wdbc & 0.9631 & 0.9354 & 0.9199 & 0.8599 & 0.9865 & 0.6287 \\
monk2 & 0.9100 & 0.8797 & 0.8196 & 0.7588 & 0.9611 & 0.4123 \\
wisconsin & 0.9730 & 0.9651 & 0.9405 & 0.9233 & 0.9914 & 0.7332 \\
wine & 0.9606 & 0.9527 & 0.9398 & 0.9272 & 0.9798 & 0.1367 \\
glass & 0.7784 & 0.6482 & 0.6734 & 0.4813 & 0.9266 & 0.1676 \\
banknote & 0.9981 & 0.9993 & 0.9961 & 0.9985 & 0.9527 & 1.3379 \\
appendicitis & 0.9288 & 0.9338 & 0.6988 & 0.6424 & 0.9792 & 0.1030 \\
balance & 0.8690 & 0.8462 & 0.7555 & 0.7145 & 0.9626 & 0.6150 \\
bands & 0.7591 & 0.6825 & 0.4559 & 0.2739 & 0.9537 & 0.3133 \\
contraceptive & 0.6411 & 0.4746 & 0.4423 & 0.1849 & 0.8444 & 1.5983 \\
dermatology & 0.9532 & 0.9118 & 0.9412 & 0.8891 & 0.9718 & 0.3737 \\
ecoli & 0.8648 & 0.8228 & 0.8007 & 0.7366 & 0.9610 & 0.3069 \\
haberman & 0.7956 & 0.7683 & 0.3214 & 0.2651 & 0.9820 & 0.2920 \\
hayes-roth & 0.7111 & 0.6375 & 0.5504 & 0.4333 & 0.9388 & 0.1336 \\
heart & 0.8646 & 0.8111 & 0.7232 & 0.6142 & 0.9756 & 0.2325 \\
hepatitis & 0.9194 & 0.8625 & 0.6624 & 0.3505 & 0.9663 & 0.0733 \\
mammographic & 0.8333 & 0.8048 & 0.6667 & 0.6097 & 0.9665 & 0.9039 \\
newthyroid & 0.9633 & 0.9628 & 0.9126 & 0.9129 & 0.9814 & 0.1926 \\
tae & 0.6409 & 0.5154 & 0.4583 & 0.2499 & 0.9404 & 0.1154 \\
vehicle & 0.7888 & 0.6587 & 0.7185 & 0.5450 & 0.9007 & 0.9109 \\
vowel & 0.9327 & 0.8535 & 0.9259 & 0.8389 & 0.8156 & 0.9711 \\
yeast & 0.6909 & 0.5398 & 0.5953 & 0.3979 & 0.8494 & 1.6069 \\
 & 0.8446 & 0.7843 & 0.7172 & 0.6084 & 0.9466 & 0.5266 \\
 &  &  &  &  &  &  \\
 &  &  &  &  &  &  \\
banana & 0.8986 & 0.8916 & 0.7941 & 0.7799 & 0.9654 & 1.8342 \\
cardiotocography & 0.8928 & 0.8855 & 0.6854 & 0.6626 & 0.9747 & 0.8028 \\
eye-state & 0.8250 & 0.7829 & 0.6460 & 0.5609 & 0.8324 & 5.6788 \\
page-blocks & 0.9585 & 0.9542 & 0.7596 & 0.7342 & 0.9861 & 2.5129 \\
penbased & 0.9848 & 0.9829 & 0.9831 & 0.9809 & 0.9332 & 3.5643 \\
satimage & 0.8970 & 0.8844 & 0.8726 & 0.8571 & 0.9501 & 2.3742 \\
thyroid & 0.9431 & 0.9412 & 0.4272 & 0.4032 & 0.9882 & 3.0773 \\
segment & 0.2311 & 0.1515 & 0.1029 & 0.0101 & 0.9260 & 0.8781 \\
coil2000 & 0.9377 & 0.9359 & 0.0584 & 0.0255 & 0.9819 & 5.4810 \\
magic & 0.8440 & 0.8106 & 0.6482 & 0.5707 & 0.8601 & 8.2651 \\
marketing & 0.3807 & 0.2867 & 0.2882 & 0.1797 & 0.8911 & 2.4493 \\
phoneme & 0.8373 & 0.8168 & 0.6045 & 0.5535 & 0.9586 & 2.0545 \\
ring & 0.9091 & 0.8983 & 0.8180 & 0.7963 & 0.9530 & 3.7638 \\
spambase & 0.8875 & 0.8775 & 0.7643 & 0.7436 & 0.9719 & 1.5940 \\
texture & 0.9635 & 0.9584 & 0.9599 & 0.9543 & 0.9285 & 1.7402 \\
titanic & 0.7829 & 0.7810 & 0.4586 & 0.4515 & 0.9911 & 0.5162 \\
twonorm & 0.9593 & 0.9559 & 0.9186 & 0.9117 & 0.9808 & 2.4462 \\
 & 0.8313 & 0.8115 & 0.6347 & 0.5986 & 0.9455 & 2.8843 \\
 &  &  &  &  &  &  \\
 &  &  &  &  &  &  \\
credit-card & 0.7944 & 0.7888 & 0.3286 & 0.3070 & 0.9740 & 12.2479 \\
shuttle & 0.9977 & 0.9980 & 0.9942 & 0.9941 & 0.9490 & 21.4851 \\
 & 0.8961 & 0.8934 & 0.6614 & 0.6506 & 0.9615 & 16.8665 \\
