Instancia & training acc & test acc & training kappa &  test kappa & reduction & mean-time
iris & 0.9770 & 0.9067 & 0.9656 & 0.8600 & 0.9740 & 0.2593 \\
cleveland & 0.7171 & 0.5838 & 0.5237 & 0.3102 & 0.9306 & 0.9515 \\
led7digit & 0.7644 & 0.7420 & 0.7376 & 0.7122 & 0.9696 & 1.2289 \\
pima & 0.8131 & 0.7659 & 0.5680 & 0.4569 & 0.9674 & 6.3130 \\
wdbc & 0.9734 & 0.9505 & 0.9423 & 0.8921 & 0.9830 & 3.5505 \\
monk2 & 0.9532 & 0.9328 & 0.9062 & 0.8653 & 0.9757 & 2.4957 \\
wisconsin & 0.9766 & 0.9578 & 0.9486 & 0.9073 & 0.9927 & 7.3022 \\
wine & 0.9831 & 0.9292 & 0.9744 & 0.8933 & 0.9680 & 0.3459 \\
glass & 0.7996 & 0.6545 & 0.7033 & 0.4836 & 0.9145 & 0.5640 \\
banknote & 0.9982 & 0.9978 & 0.9964 & 0.9956 & 0.9892 & 12.6341 \\
appendicitis & 0.9644 & 0.9600 & 0.8391 & 0.7352 & 0.9745 & 0.3151 \\
balance & 0.8843 & 0.8627 & 0.7835 & 0.7431 & 0.9738 & 3.8908 \\
bands & 0.7885 & 0.6582 & 0.5250 & 0.2308 & 0.9449 & 1.2039 \\
contraceptive & 0.6194 & 0.4819 & 0.4061 & 0.1940 & 0.9452 & 18.6463 \\
dermatology & 0.9746 & 0.9559 & 0.9677 & 0.9438 & 0.9645 & 1.2560 \\
ecoli & 0.8608 & 0.8012 & 0.7961 & 0.7062 & 0.9625 & 1.3572 \\
haberman & 0.8018 & 0.7089 & 0.3817 & 0.1279 & 0.9768 & 1.6556 \\
hayes-roth & 0.7688 & 0.6688 & 0.6381 & 0.4826 & 0.9088 & 0.2636 \\
heart & 0.8811 & 0.8296 & 0.7572 & 0.6524 & 0.9696 & 0.8221 \\
hepatitis & 0.9222 & 0.8750 & 0.6535 & 0.3771 & 0.9638 & 0.1015 \\
mammographic & 0.8459 & 0.8265 & 0.6914 & 0.6529 & 0.9854 & 9.7776 \\
newthyroid & 0.9747 & 0.9313 & 0.9417 & 0.8320 & 0.9735 & 0.7552 \\
tae & 0.6799 & 0.5567 & 0.5189 & 0.3293 & 0.9106 & 0.2531 \\
vehicle & 0.7965 & 0.6621 & 0.7286 & 0.5490 & 0.9221 & 5.1786 \\
vowel & 0.8875 & 0.8253 & 0.8763 & 0.8078 & 0.8701 & 5.6765 \\
yeast & 0.6766 & 0.5623 & 0.5732 & 0.4211 & 0.9472 & 19.9237 \\
 & 0.8570 & 0.7918 & 0.7440 & 0.6216 & 0.9561 & 4.1047 \\
 &  &  &  &  &  &  \\
 &  &  &  &  &  &  \\
banana & 0.8886 & 0.8846 & 0.7740 & 0.7658 & 0.9484 & 27.6695 \\
cardiotocography & 0.8783 & 0.8682 & 0.6553 & 0.6240 & 0.9869 & 3.1308 \\
eye-state & 0.7385 & 0.7190 & 0.4705 & 0.4308 & 0.9717 & 143.5858 \\
page-blocks & 0.9423 & 0.9394 & 0.6565 & 0.6373 & 0.9959 & 16.9769 \\
penbased & 0.9826 & 0.9809 & 0.9807 & 0.9788 & 0.9032 & 448.9862 \\
satimage & 0.8715 & 0.8628 & 0.8410 & 0.8303 & 0.9672 & 35.6554 \\
thyroid & 0.9447 & 0.9437 & 0.4543 & 0.4416 & 0.9954 & 25.3644 \\
segment & 0.2546 & 0.1546 & 0.1304 & 0.0136 & 0.8941 & 3.3403 \\
coil2000 & 0.9358 & 0.9340 & 0.0739 & 0.0454 & 0.9975 & 81.9335 \\
magic & 0.8206 & 0.8078 & 0.6008 & 0.5718 & 0.9699 & 237.1728 \\
marketing & 0.3404 & 0.2877 & 0.2414 & 0.1808 & 0.9419 & 25.6661 \\
phoneme & 0.8127 & 0.8007 & 0.5439 & 0.5128 & 0.9817 & 16.7353 \\
ring & 0.7169 & 0.7041 & 0.4306 & 0.4047 & 0.9704 & 32.5529 \\
spambase & 0.8696 & 0.8617 & 0.7279 & 0.7113 & 0.9854 & 9.3396 \\
texture & 0.9623 & 0.9586 & 0.9586 & 0.9545 & 0.8660 & 110.9760 \\
titanic & 0.7839 & 0.7828 & 0.4563 & 0.4506 & 0.9902 & 3.0523 \\
twonorm & 0.9534 & 0.9523 & 0.9067 & 0.9046 & 0.9954 & 24.7465 \\
 & 0.8057 & 0.7908 & 0.5825 & 0.5564 & 0.9624 & 73.3461 \\
 &  &  &  &  &  &  \\
 &  &  &  &  &  &  \\
credit-card & 0.8043 & 0.8035 & 0.3163 & 0.3128 & 0.9970 & 97.4400 \\
shuttle & 0.9764 & 0.9962 & 0.9835 & 0.9892 & 0.9976 & 414.8464 \\
 & 0.8904 & 0.8999 & 0.6499 & 0.6510 & 0.9973 & 256.1432 \\
