iris & 0.9452 & 0.9400 & 0.9178 & 0.9100 & 0.9667 & 0.1280 \\
cleveland & 0.6824 & 0.5735 & 0.4687 & 0.2898 & 0.9508 & 0.3327 \\
led7digit & 0.7407 & 0.7180 & 0.7114 & 0.6863 & 0.9576 & 0.4912 \\
pima & 0.8177 & 0.7273 & 0.5885 & 0.3820 & 0.9167 & 1.0538 \\
wdbc & 0.9567 & 0.9311 & 0.9051 & 0.8525 & 0.9851 & 0.9464 \\
monk2 & 0.9295 & 0.9075 & 0.8589 & 0.8153 & 0.9671 & 0.5052 \\
wisconsin & 0.9723 & 0.9593 & 0.9389 & 0.9093 & 0.9924 & 2.3531 \\
wine & 0.9631 & 0.9706 & 0.9439 & 0.9551 & 0.9702 & 0.1832 \\
glass & 0.8172 & 0.6815 & 0.7366 & 0.5386 & 0.9150 & 0.1969 \\
banknote & 0.9938 & 0.9869 & 0.9875 & 0.9734 & 0.9827 & 2.1826 \\
appendicitis & 0.9602 & 0.9175 & 0.8315 & 0.5920 & 0.9755 & 0.1196 \\
balance & 0.8535 & 0.8053 & 0.7281 & 0.6410 & 0.9581 & 0.8653 \\
bands & 0.7610 & 0.6755 & 0.4572 & 0.2639 & 0.9438 & 0.4083 \\
contraceptive & 0.6360 & 0.4610 & 0.4381 & 0.1721 & 0.8007 & 2.3267 \\
dermatology & 0.9526 & 0.9050 & 0.9396 & 0.8789 & 0.9707 & 0.5386 \\
ecoli & 0.8526 & 0.7865 & 0.7871 & 0.6893 & 0.9530 & 0.4642 \\
haberman & 0.7894 & 0.7389 & 0.3108 & 0.1839 & 0.9856 & 0.3480 \\
hayes-roth & 0.7292 & 0.6250 & 0.5779 & 0.4102 & 0.9344 & 0.1447 \\
heart & 0.8580 & 0.7963 & 0.7123 & 0.5873 & 0.9759 & 0.2957 \\
hepatitis & 0.9181 & 0.8500 & 0.6438 & 0.3686 & 0.9650 & 0.0828 \\
mammographic & 0.8276 & 0.8120 & 0.6552 & 0.6242 & 0.9696 & 1.2071 \\
newthyroid & 0.9716 & 0.9608 & 0.9311 & 0.9058 & 0.9767 & 0.3146 \\
tae & 0.6542 & 0.4646 & 0.4782 & 0.1843 & 0.9272 & 0.1390 \\
vehicle & 0.7987 & 0.6744 & 0.7315 & 0.5656 & 0.8805 & 1.2140 \\
vowel & 0.9621 & 0.9030 & 0.9583 & 0.8933 & 0.8136 & 1.2354 \\
yeast & 0.7427 & 0.5392 & 0.6628 & 0.3971 & 0.7664 & 2.4397 \\
 & 0.8495 & 0.7812 & 0.7269 & 0.6027 & 0.9385 & 0.7891 \\
 &  &  &  &  &  &  \\
banana & 0.8872 & 0.8851 & 0.7817 & 0.7671 & 0.9564 & 2.4352 \\
cardiotocography & 0.8710 & 0.8752 & 0.6482 & 0.6389 & 0.9755 & 0.9279 \\
eye-state & 0.8377 & 0.7796 & 0.6823 & 0.5550 & 0.7871 & 9.4798 \\
page-blocks & 0.9485 & 0.9538 & 0.7531 & 0.7341 & 0.9829 & 5.0899 \\
penbased & 0.9786 & 0.9867 & 0.9774 & 0.9852 & 0.9360 & 5.5268 \\
satimage & 0.8871 & 0.8811 & 0.8626 & 0.8528 & 0.9473 & 3.8257 \\
thyroid & 0.9355 & 0.9443 & 0.4300 & 0.4248 & 0.9930 & 4.8042 \\
segment & 0.2910 & 0.1506 & 0.1744 & 0.0091 & 0.8691 & 0.8686 \\
coil2000 & 0.9302 & 0.9389 & 0.0163 & 0.0049 & 0.9874 & 9.2518 \\
magic & 0.8239 & 0.7935 & 0.6211 & 0.5393 & 0.8866 & 15.0822 \\
marketing & 0.4467 & 0.2704 & 0.3690 & 0.1658 & 0.7859 & 3.2887 \\
phoneme & 0.8315 & 0.8249 & 0.6065 & 0.5757 & 0.9627 & 3.3927 \\
ring & 0.9092 & 0.9034 & 0.8283 & 0.8066 & 0.9561 & 6.2863 \\
spambase & 0.8681 & 0.8658 & 0.7342 & 0.7184 & 0.9771 & 2.1910 \\
texture & 0.9547 & 0.9575 & 0.9511 & 0.9532 & 0.9215 & 2.4389 \\
titanic & 0.7753 & 0.7810 & 0.4491 & 0.4481 & 0.9898 & 0.5828 \\
twonorm & 0.9391 & 0.9464 & 0.8882 & 0.8927 & 0.9841 & 3.7002 \\
 & 0.8303 & 0.8081 & 0.6337 & 0.5925 & 0.9352 & 4.6572 \\
 &  &  &  &  &  &  \\
credit-card & 0.7829 & 0.7763 & 0.3168 & 0.2937 & 0.9700 & 15.7268 \\
shuttle & 0.9976 & 0.9978 & 0.9940 & 0.9937 & 0.9841 & 60.9359 \\
 & 0.8903 & 0.8871 & 0.6554 & 0.6437 & 0.9771 & 38.3314 \\
