iris & 0.3030 & 0.3200 & -0.0456 & -0.0200 & 0.9240 & 8.4874 \\
cleveland & 0.5293 & 0.3679 & 0.3537 & 0.1336 & 0.6963 & 7.9552 \\
led7digit & 0.6047 & 0.5360 & 0.5591 & 0.4826 & 0.4976 & 10.0936 \\
pima & 0.7962 & 0.6137 & 0.5746 & 0.1733 & 0.6272 & 20.3269 \\
wdbc & 0.6694 & 0.6784 & 0.3348 & 0.3413 & 0.9313 & 58.6600 \\
monk2 & 0.7477 & 0.7167 & 0.4912 & 0.4271 & 0.7556 & 10.7442 \\
wisconsin & 0.3132 & 0.3147 & -0.1204 & -0.1146 & 0.9529 & 363.5220 \\
wine & 0.3945 & 0.3988 & 0.0050 & 0.0191 & 0.9202 & 9.9247 \\
glass & 0.4090 & 0.3240 & 0.1886 & 0.0510 & 0.8065 & 5.6923 \\
banknote & 0.5184 & 0.5102 & 0.0812 & 0.0678 & 0.9848 & 373.8600 \\
appendicitis & 0.1747 & 0.1563 & -0.0476 & -0.0932 & 0.9358 & 4.0006 \\
balance & 0.9204 & 0.7651 & 0.8647 & 0.5975 & 0.6248 & 19.5066 \\
bands & 0.7986 & 0.6423 & 0.5860 & 0.2476 & 0.5633 & 9.7889 \\
contraceptive & 0.9028 & 0.4222 & 0.8500 & 0.1121 & 0.3169 & 38.6017 \\
dermatology & 0.4545 & 0.4624 & 0.3400 & 0.3427 & 0.9212 & 31.4329 \\
ecoli & 0.5530 & 0.5303 & 0.4009 & 0.3704 & 0.8086 & 11.0493 \\
haberman & 0.6193 & 0.5517 & 0.2413 & 0.0795 & 0.7000 & 6.2717 \\
hayes-roth & 0.5792 & 0.5875 & 0.3234 & 0.3317 & 0.6288 & 1.7985 \\
heart & 0.6284 & 0.5444 & 0.2698 & 0.1018 & 0.7552 & 6.9793 \\
hepatitis & 0.2208 & 0.1750 & 0.0044 & -0.0382 & 0.8950 & 3.1597 \\
mammographic & 0.7618 & 0.6639 & 0.5233 & 0.3270 & 0.6719 & 25.0182 \\
newthyroid & 0.3228 & 0.3650 & 0.1216 & 0.1462 & 0.9470 & 22.7798 \\
tae & 0.4702 & 0.3988 & 0.2035 & 0.1067 & 0.6715 & 1.7293 \\
vehicle & 0.7324 & 0.6024 & 0.6424 & 0.4689 & 0.6746 & 29.7396 \\
vowel & 0.5860 & 0.6020 & 0.5446 & 0.5622 & 0.8578 & 39.0387 \\
yeast & 0.9031 & 0.5188 & 0.8737 & 0.3691 & 0.4065 & 40.0306 \\
 & 0.5736 & 0.4911 & 0.3525 & 0.2151 & 0.7491 & 44.6228 \\
 &  &  &  &  &  &  \\
banana & 0.8370 & 0.7930 & 0.6838 & 0.5855 & 0.8698 & 143.1180 \\
cardiotocography & 0.7095 & 0.6793 & 0.4598 & 0.3887 & 0.8567 & 60.1878 \\
eye-state & 0.8868 & 0.7900 & 0.7828 & 0.5787 & 0.6282 & 231.2230 \\
page-blocks & 0.7852 & 0.7752 & 0.3919 & 0.3442 & 0.9472 & 694.1560 \\
penbased & 0.9485 & 0.9540 & 0.9438 & 0.9488 & 0.9346 & 515.6620 \\
satimage & 0.8691 & 0.8292 & 0.8420 & 0.7911 & 0.8576 & 238.5030 \\
thyroid & 0.8393 & 0.8158 & 0.4006 & 0.2771 & 0.8964 & 280.0980 \\
segment & 0.7321 & 0.1606 & 0.6891 & 0.0207 & 0.3306 & 21.6793 \\
coil2000 & 0.7481 & 0.7008 & 0.2124 & 0.0491 & 0.8571 & 339.5150 \\
magic & 0.8244 & 0.7278 & 0.6557 & 0.4453 & 0.7179 & 426.6730 \\
marketing & 0.7031 & 0.2532 & 0.6639 & 0.1514 & 0.3992 & 87.8192 \\
phoneme & 0.7686 & 0.7270 & 0.5190 & 0.4164 & 0.8306 & 243.0430 \\
ring & 0.8275 & 0.7330 & 0.6640 & 0.4633 & 0.7424 & 197.2490 \\
spambase & 0.8256 & 0.7844 & 0.6574 & 0.5640 & 0.8252 & 93.0783 \\
texture & 0.8071 & 0.8042 & 0.7888 & 0.7846 & 0.8905 & 151.4730 \\
titanic & 0.5624 & 0.5702 & -0.0657 & -0.0621 & 0.7318 & 31.2225 \\
twonorm & 0.9095 & 0.8884 & 0.8291 & 0.7768 & 0.8511 & 203.4820 \\
 & 0.7990 & 0.7051 & 0.5952 & 0.4426 & 0.7745 & 232.8342 \\
 &  &  &  &  &  &  \\
credit-card & 0.7000 & 0.5640 & 0.3824 & 0.1055 & 0.6966 & 563.6650 \\
shuttle & 0.7212 & 0.7222 & 0.5131 & 0.5134 & 0.9852 & 16384.1000 \\
 & 0.7106 & 0.6431 & 0.4478 & 0.3094 & 0.8409 & 8473.8825 \\
