iris & 0.9593 & 0.9533 & 0.9389 & 0.9300 & 0.9713 & 0.2560 \\
cleveland & 0.7340 & 0.5976 & 0.5674 & 0.3410 & 0.9178 & 1.1617 \\
led7digit & 0.7636 & 0.7640 & 0.7369 & 0.7370 & 0.9688 & 1.7061 \\
pima & 0.8181 & 0.7408 & 0.5853 & 0.4129 & 0.9616 & 6.3759 \\
wdbc & 0.9692 & 0.9517 & 0.9332 & 0.8968 & 0.9835 & 4.3126 \\
monk2 & 0.9601 & 0.9513 & 0.9201 & 0.9022 & 0.9722 & 2.2859 \\
wisconsin & 0.9749 & 0.9666 & 0.9449 & 0.9272 & 0.9918 & 10.8397 \\
wine & 0.9670 & 0.9235 & 0.9497 & 0.8824 & 0.9674 & 0.4105 \\
glass & 0.8380 & 0.7259 & 0.7628 & 0.5999 & 0.9005 & 0.5582 \\
banknote & 0.9960 & 0.9949 & 0.9918 & 0.9897 & 0.9897 & 19.3378 \\
appendicitis & 0.9622 & 0.9338 & 0.8197 & 0.6226 & 0.9726 & 0.3812 \\
balance & 0.8704 & 0.8306 & 0.7579 & 0.6843 & 0.9618 & 4.4479 \\
bands & 0.7952 & 0.6745 & 0.5346 & 0.2540 & 0.9318 & 1.4442 \\
contraceptive & 0.6397 & 0.4874 & 0.4369 & 0.1983 & 0.9238 & 34.5453 \\
dermatology & 0.9711 & 0.9359 & 0.9635 & 0.9185 & 0.9620 & 1.6582 \\
ecoli & 0.8770 & 0.8189 & 0.8208 & 0.7371 & 0.9438 & 1.6602 \\
haberman & 0.7988 & 0.7850 & 0.3414 & 0.3042 & 0.9830 & 1.6235 \\
hayes-roth & 0.7951 & 0.6625 & 0.6817 & 0.4761 & 0.9063 & 0.3040 \\
heart & 0.8695 & 0.8074 & 0.7336 & 0.6065 & 0.9748 & 0.9108 \\
hepatitis & 0.9250 & 0.8750 & 0.6103 & 0.3771 & 0.9625 & 0.1547 \\
mammographic & 0.8473 & 0.8205 & 0.6945 & 0.6408 & 0.9807 & 10.7792 \\
newthyroid & 0.9731 & 0.9408 & 0.9343 & 0.8521 & 0.9767 & 0.9724 \\
tae & 0.7277 & 0.5238 & 0.5888 & 0.2769 & 0.8795 & 0.2448 \\
vehicle & 0.8039 & 0.6320 & 0.7386 & 0.5085 & 0.9063 & 6.7557 \\
vowel & 0.9759 & 0.9141 & 0.9735 & 0.9056 & 0.8363 & 10.6054 \\
yeast & 0.6867 & 0.5546 & 0.5887 & 0.4161 & 0.9371 & 31.3284 \\
 & 0.8653 & 0.7987 & 0.7519 & 0.6307 & 0.9486 & 5.9638 \\
 &  &  &  &  &  &  \\
banana & 0.8740 & 0.8594 & 0.7565 & 0.7170 & 0.9243 & 23.6071 \\
cardiotocography & 0.8781 & 0.8798 & 0.6685 & 0.6528 & 0.9776 & 3.6315 \\
eye-state & 0.7818 & 0.7592 & 0.5695 & 0.5136 & 0.9208 & 184.2650 \\
page-blocks & 0.9395 & 0.9461 & 0.6854 & 0.6734 & 0.9905 & 29.4964 \\
penbased & 0.9802 & 0.9871 & 0.9791 & 0.9856 & 0.9392 & 109.8440 \\
satimage & 0.8773 & 0.8664 & 0.8510 & 0.8352 & 0.9362 & 36.4186 \\
thyroid & 0.9321 & 0.9408 & 0.4125 & 0.4144 & 0.9969 & 30.0824 \\
segment & 0.1780 & 0.1489 & 0.0427 & 0.0071 & 0.9731 & 3.7275 \\
coil2000 & 0.9033 & 0.9409 & 0.0000 & 0.0000 & 0.9991 & 74.6177 \\
magic & 0.7938 & 0.7951 & 0.5462 & 0.5362 & 0.9934 & 263.4050 \\
marketing & 0.4412 & 0.2817 & 0.3632 & 0.1794 & 0.8123 & 57.3855 \\
phoneme & 0.8260 & 0.8223 & 0.5917 & 0.5671 & 0.9715 & 21.4618 \\
ring & 0.8409 & 0.8426 & 0.6912 & 0.6844 & 0.9867 & 49.4540 \\
spambase & 0.8803 & 0.8743 & 0.7595 & 0.7359 & 0.9675 & 11.3417 \\
texture & 0.9570 & 0.9625 & 0.9537 & 0.9588 & 0.9030 & 48.3416 \\
titanic & 0.7763 & 0.7842 & 0.4455 & 0.4498 & 0.9869 & 3.5772 \\
twonorm & 0.9366 & 0.9449 & 0.8832 & 0.8897 & 0.9942 & 25.0392 \\
 & 0.8623 & 0.8523 & 0.6374 & 0.6125 & 1.0171 & 60.9810 \\
 &  &  &  &  &  &  \\
credit-card & 0.7874 & 0.7867 & 0.2759 & 0.2721 & 0.9969 & 98.1104 \\
shuttle & 0.9976 & 0.9986 & 0.9962 & 0.9961 & 0.9800 & 1127.4700 \\
 & 0.8925 & 0.8926 & 0.6360 & 0.6341 & 0.9884 & 612.7902 \\
