iris & 0.9644 & 0.9400 & 0.9467 & 0.9100 & 0.9727 & 0.1323 \\
cleveland & 0.6924 & 0.5969 & 0.4606 & 0.2823 & 0.9535 & 0.3325 \\
led7digit & 0.7267 & 0.7000 & 0.6959 & 0.6659 & 0.9640 & 0.4951 \\
pima & 0.8095 & 0.7296 & 0.5673 & 0.3839 & 0.9271 & 0.9923 \\
wdbc & 0.9566 & 0.9303 & 0.9055 & 0.8497 & 0.9905 & 0.8764 \\
monk2 & 0.9252 & 0.9049 & 0.8501 & 0.8100 & 0.9653 & 0.5571 \\
wisconsin & 0.9730 & 0.9679 & 0.9404 & 0.9287 & 0.9931 & 1.2903 \\
wine & 0.9719 & 0.9471 & 0.9569 & 0.9182 & 0.9725 & 0.1798 \\
glass & 0.7954 & 0.7109 & 0.7021 & 0.5814 & 0.9215 & 0.2090 \\
banknote & 0.9958 & 0.9942 & 0.9915 & 0.9881 & 0.9802 & 2.3484 \\
appendicitis & 0.9498 & 0.9138 & 0.7707 & 0.5601 & 0.9708 & 0.1231 \\
balance & 0.8514 & 0.8099 & 0.7218 & 0.6446 & 0.9603 & 0.8365 \\
bands & 0.7756 & 0.6735 & 0.4974 & 0.2610 & 0.9381 & 0.4440 \\
contraceptive & 0.5845 & 0.4671 & 0.3566 & 0.1746 & 0.8599 & 2.2979 \\
dermatology & 0.9528 & 0.9198 & 0.9398 & 0.8978 & 0.9684 & 0.4987 \\
ecoli & 0.8519 & 0.7839 & 0.7869 & 0.6901 & 0.9580 & 0.4320 \\
haberman & 0.7850 & 0.7622 & 0.2966 & 0.2072 & 0.9876 & 0.3616 \\
hayes-roth & 0.7278 & 0.5625 & 0.5742 & 0.3116 & 0.9269 & 0.1477 \\
heart & 0.8617 & 0.8000 & 0.7184 & 0.5894 & 0.9807 & 0.2763 \\
hepatitis & 0.9000 & 0.7875 & 0.4285 & 0.0026 & 0.9700 & 0.0713 \\
mammographic & 0.8335 & 0.7928 & 0.6667 & 0.5849 & 0.9600 & 1.1245 \\
newthyroid & 0.9659 & 0.9447 & 0.9213 & 0.8775 & 0.9786 & 0.2718 \\
tae & 0.6674 & 0.5571 & 0.4990 & 0.3363 & 0.9278 & 0.1215 \\
vehicle & 0.8088 & 0.6459 & 0.7450 & 0.5272 & 0.8680 & 1.1788 \\
vowel & 0.9519 & 0.9051 & 0.9470 & 0.8956 & 0.8132 & 1.3003 \\
yeast & 0.6715 & 0.5163 & 0.5697 & 0.3669 & 0.8268 & 2.4174 \\
 & 0.8442 & 0.7794 & 0.7099 & 0.5864 & 0.9437 & 0.7429 \\
 &  &  &  &  &  &  \\
banana & 0.8792 & 0.8785 & 0.7654 & 0.7538 & 0.9557 & 2.2206 \\
cardiotocography & 0.8781 & 0.8766 & 0.6643 & 0.6402 & 0.9725 & 0.9069 \\
eye-state & 0.8138 & 0.7754 & 0.6328 & 0.5445 & 0.8348 & 9.5799 \\
page-blocks & 0.9441 & 0.9512 & 0.7199 & 0.7132 & 0.9873 & 4.1491 \\
penbased & 0.9785 & 0.9860 & 0.9773 & 0.9844 & 0.9193 & 6.0296 \\
satimage & 0.8847 & 0.8768 & 0.8596 & 0.8474 & 0.9368 & 3.5942 \\
thyroid & 0.9303 & 0.9392 & 0.3410 & 0.3393 & 0.9924 & 4.8284 \\
segment & 0.2703 & 0.1416 & 0.1503 & -0.0015 & 0.8742 & 0.8990 \\
coil2000 & 0.9257 & 0.9327 & 0.0725 & 0.0277 & 0.9833 & 9.3002 \\
magic & 0.8329 & 0.7904 & 0.6400 & 0.5303 & 0.8337 & 14.2995 \\
marketing & 0.4297 & 0.2765 & 0.3504 & 0.1737 & 0.8099 & 3.3324 \\
phoneme & 0.8373 & 0.8227 & 0.6201 & 0.5707 & 0.9532 & 2.5038 \\
ring & 0.9208 & 0.9159 & 0.8515 & 0.8318 & 0.9416 & 5.8020 \\
spambase & 0.8743 & 0.8734 & 0.7503 & 0.7380 & 0.9593 & 2.3094 \\
texture & 0.9611 & 0.9656 & 0.9582 & 0.9622 & 0.9154 & 2.6238 \\
titanic & 0.7675 & 0.7746 & 0.4285 & 0.4301 & 0.9906 & 0.7138 \\
twonorm & 0.9416 & 0.9477 & 0.8933 & 0.8954 & 0.9829 & 3.8145 \\
 & 0.8276 & 0.8073 & 0.6280 & 0.5871 & 0.9319 & 4.5240 \\
 &  &  &  &  &  &  \\
credit-card & 0.7912 & 0.7839 & 0.3192 & 0.2925 & 0.9655 & 15.9920 \\
shuttle & 0.9979 & 0.9981 & 0.9947 & 0.9945 & 0.9784 & 51.4480 \\
 & 0.8945 & 0.8910 & 0.8945 & 0.6435 & 0.9719 & 33.7200 \\
