iris & 0.6281 & 0.6667 & 0.4422 & 0.5000 & 0.8380 & 3.6577 \\
cleveland & 0.8638 & 0.5521 & 0.7875 & 0.3042 & 0.3933 & 7.1737 \\
led7digit & 0.6580 & 0.6000 & 0.6187 & 0.5526 & 0.5338 & 9.7518 \\
pima & 0.9100 & 0.6925 & 0.8002 & 0.3161 & 0.4408 & 17.4020 \\
wdbc & 0.9307 & 0.9275 & 0.8474 & 0.8418 & 0.7239 & 20.4897 \\
monk2 & 0.8403 & 0.7683 & 0.6786 & 0.5332 & 0.6391 & 8.8170 \\
wisconsin & 0.9308 & 0.9190 & 0.8324 & 0.8039 & 0.7564 & 20.1675 \\
wine & 0.6436 & 0.7031 & 0.4442 & 0.5351 & 0.8416 & 5.8451 \\
glass & 0.6767 & 0.5648 & 0.5309 & 0.3691 & 0.6570 & 3.7065 \\
banknote & 0.8327 & 0.8440 & 0.6475 & 0.6723 & 0.9466 & 116.1180 \\
appendicitis & 0.4336 & 0.4575 & -0.0203 & -0.0329 & 0.8519 & 1.7216 \\
balance & 0.7175 & 0.6850 & 0.5520 & 0.4907 & 0.8419 & 24.1511 \\
bands & 0.8965 & 0.6867 & 0.7794 & 0.3293 & 0.4145 & 11.7027 \\
contraceptive & 0.8889 & 0.4386 & 0.8283 & 0.1333 & 0.2884 & 38.4136 \\
dermatology & 0.7799 & 0.7905 & 0.7184 & 0.7307 & 0.8101 & 13.5112 \\
ecoli & 0.9068 & 0.7804 & 0.8654 & 0.6772 & 0.5366 & 6.2739 \\
haberman & 0.8447 & 0.7222 & 0.6102 & 0.2778 & 0.4918 & 4.2080 \\
hayes-roth & 0.7438 & 0.6500 & 0.5903 & 0.4316 & 0.4844 & 1.6753 \\
heart & 0.8687 & 0.7222 & 0.7330 & 0.4367 & 0.5144 & 5.3110 \\
hepatitis & 0.6750 & 0.6500 & 0.2622 & 0.1001 & 0.7163 & 1.4540 \\
mammographic & 0.8582 & 0.7289 & 0.7161 & 0.4570 & 0.5357 & 17.7520 \\
newthyroid & 0.7647 & 0.7434 & 0.2932 & 0.2836 & 0.8488 & 5.5369 \\
tae & 0.6836 & 0.5096 & 0.5249 & 0.2564 & 0.4914 & 1.5996 \\
vehicle & 0.9108 & 0.6951 & 0.8810 & 0.5931 & 0.4475 & 27.9084 \\
vowel & 0.6726 & 0.6646 & 0.6399 & 0.6311 & 0.7999 & 35.2918 \\
yeast & 0.9344 & 0.5412 & 0.9148 & 0.4037 & 0.3317 & 38.6023 \\
 & 0.7883 & 0.6809 & 0.6353 & 0.4472 & 0.6221 & 17.2401 \\
 &  &  &  &  &  &  \\
banana & 0.8739 & 0.8308 & 0.7500 & 0.6505 & 0.6487 & 76.9952 \\
cardiotocography & 0.9095 & 0.8802 & 0.7463 & 0.6270 & 0.6335 & 20.1874 \\
eye-state & 0.8796 & 0.7870 & 0.7624 & 0.5597 & 0.5011 & 214.1540 \\
page-blocks & 0.9520 & 0.9430 & 0.7694 & 0.6651 & 0.7332 & 82.0846 \\
penbased & 0.9808 & 0.9852 & 0.9797 & 0.9835 & 0.5059 & 183.8240 \\
satimage & 0.9151 & 0.8732 & 0.8981 & 0.8443 & 0.4645 & 167.4070 \\
thyroid & 0.9475 & 0.9071 & 0.7441 & 0.4328 & 0.7163 & 127.4800 \\
segment & 0.7420 & 0.1506 & 0.7007 & 0.0091 & 0.3236 & 21.6527 \\
coil2000 & 0.9282 & 0.8717 & 0.5406 & 0.0891 & 0.6014 & 288.4990 \\
magic & 0.9017 & 0.8006 & 0.7898 & 0.5419 & 0.5272 & 267.3640 \\
marketing & 0.7786 & 0.2765 & 0.7492 & 0.1750 & 0.2644 & 86.4194 \\
phoneme & 0.8723 & 0.8347 & 0.6715 & 0.5446 & 0.5467 & 53.2051 \\
ring & 0.9709 & 0.8181 & 0.9518 & 0.6350 & 0.4729 & 128.3230 \\
spambase & 0.9388 & 0.8771 & 0.8811 & 0.7381 & 0.5176 & 103.3830 \\
texture & 0.9712 & 0.9698 & 0.9694 & 0.9668 & 0.5565 & 118.9760 \\
titanic & 0.6843 & 0.6910 & 0.0796 & 0.0818 & 0.7211 & 30.0544 \\
twonorm & 0.9382 & 0.9164 & 0.8864 & 0.8327 & 0.6395 & 134.3210 \\
 & 0.8932 & 0.7890 & 0.7571 & 0.5516 & 0.5514 & 123.7841 \\
 &  &  &  &  &  &  \\
credit-card & 0.8922 & 0.7187 & 0.6845 & 0.1801 & 0.4155 & 507.4450 \\
shuttle & 0.9988 & 0.9989 & 0.9974 & 0.9968 & 0.8023 & 1609.8700 \\
 & 0.9455 & 0.8588 & 0.8410 & 0.9455 & 0.6089 & 1058.6575 \\
