iris & 0.9726 & 0.9333 & 0.9589 & 0.9000 & 0.9707 & 0.3046 \\
cleveland & 0.7303 & 0.5741 & 0.5455 & 0.3040 & 0.9205 & 1.1551 \\
led7digit & 0.7738 & 0.7460 & 0.7482 & 0.7170 & 0.9698 & 1.7640 \\
pima & 0.8281 & 0.7213 & 0.6135 & 0.3763 & 0.9512 & 6.6283 \\
wdbc & 0.9664 & 0.9469 & 0.9273 & 0.8852 & 0.9880 & 4.3109 \\
monk2 & 0.9535 & 0.9465 & 0.9067 & 0.8928 & 0.9706 & 2.5570 \\
wisconsin & 0.9779 & 0.9577 & 0.9513 & 0.9072 & 0.9933 & 8.2103 \\
wine & 0.9819 & 0.9409 & 0.9725 & 0.9107 & 0.9685 & 0.3847 \\
glass & 0.8364 & 0.7236 & 0.7614 & 0.5906 & 0.9107 & 0.5561 \\
banknote & 0.9969 & 0.9934 & 0.9938 & 0.9867 & 0.9914 & 18.7481 \\
appendicitis & 0.9528 & 0.9338 & 0.7774 & 0.6732 & 0.9708 & 0.3227 \\
balance & 0.8683 & 0.8387 & 0.7533 & 0.6981 & 0.9723 & 4.0537 \\
bands & 0.7912 & 0.6412 & 0.5318 & 0.1805 & 0.9419 & 1.5031 \\
contraceptive & 0.6450 & 0.4889 & 0.4451 & 0.2005 & 0.9210 & 39.5381 \\
dermatology & 0.9684 & 0.9318 & 0.9600 & 0.9132 & 0.9626 & 1.4353 \\
ecoli & 0.8879 & 0.8172 & 0.8378 & 0.7320 & 0.9494 & 1.4201 \\
haberman & 0.8119 & 0.7183 & 0.4173 & 0.1254 & 0.9703 & 1.4346 \\
hayes-roth & 0.7681 & 0.6438 & 0.6383 & 0.4330 & 0.9225 & 0.2822 \\
heart & 0.8778 & 0.8222 & 0.7511 & 0.6378 & 0.9719 & 0.7823 \\
hepatitis & 0.9125 & 0.8125 & 0.6414 & 0.3098 & 0.9688 & 0.1244 \\
mammographic & 0.8430 & 0.8060 & 0.6857 & 0.6117 & 0.9861 & 10.2855 \\
newthyroid & 0.9742 & 0.9381 & 0.9410 & 0.8504 & 0.9753 & 0.8506 \\
tae & 0.7425 & 0.5158 & 0.6071 & 0.2551 & 0.8682 & 0.2351 \\
vehicle & 0.8167 & 0.6563 & 0.7556 & 0.5415 & 0.9046 & 7.4441 \\
vowel & 0.8846 & 0.8000 & 0.8731 & 0.7800 & 0.8721 & 5.9631 \\
yeast & 0.6983 & 0.5573 & 0.6035 & 0.4204 & 0.9259 & 35.5053 \\
 & 0.8639 & 0.7848 & 0.7538 & 0.6090 & 0.9507 & 5.9923 \\
 &  &  &  &  &  &  \\
banana & 0.8774 & 0.8792 & 0.7629 & 0.7564 & 0.9715 & 16.4339 \\
cardiotocography & 0.8714 & 0.8728 & 0.6403 & 0.6243 & 0.9831 & 3.1510 \\
eye-state & 0.6811 & 0.6801 & 0.3634 & 0.3510 & 0.9900 & 167.5720 \\
page-blocks & 0.9316 & 0.9397 & 0.6278 & 0.6243 & 0.9961 & 19.5174 \\
penbased & 0.9784 & 0.9854 & 0.9771 & 0.9838 & 0.8672 & 463.2490 \\
satimage & 0.8731 & 0.8696 & 0.8451 & 0.8384 & 0.9782 & 32.5058 \\
thyroid & 0.9372 & 0.9458 & 0.4726 & 0.4685 & 0.9973 & 28.5697 \\
segment & 0.2104 & 0.1511 & 0.0805 & 0.0096 & 0.9353 & 4.0036 \\
coil2000 & 0.9116 & 0.9158 & 0.0981 & 0.0429 & 0.9927 & 134.2930 \\
magic & 0.8169 & 0.8191 & 0.6003 & 0.5924 & 0.9819 & 282.5090 \\
marketing & 0.3113 & 0.2670 & 0.2147 & 0.1628 & 0.9541 & 30.1330 \\
phoneme & 0.8108 & 0.8101 & 0.5538 & 0.5364 & 0.9805 & 18.4183 \\
ring & 0.9140 & 0.9130 & 0.8378 & 0.8258 & 0.9623 & 49.4138 \\
spambase & 0.8712 & 0.8705 & 0.7397 & 0.7274 & 0.9822 & 10.7736 \\
texture & 0.9648 & 0.9658 & 0.9622 & 0.9624 & 0.8575 & 84.0142 \\
titanic & 0.7756 & 0.7823 & 0.4509 & 0.4514 & 0.9906 & 3.2848 \\
twonorm & 0.9493 & 0.9574 & 0.9085 & 0.9149 & 0.9923 & 26.0074 \\
 & 0.8051 & 0.8015 & 0.5962 & 0.5808 & 0.9654 & 80.8147 \\
 &  &  &  &  &  &  \\
credit-card & 0.7923 & 0.7917 & 0.2394 & 0.2364 & 0.9974 & 94.9568 \\
shuttle & 0.9791 & 0.9985 & 0.9958 & 0.9956 & 0.9440 & 1185.5700 \\
 & 0.8857 & 0.8951 & 0.6176 & 0.6160 & 0.9707 & 640.2634 \\
