iris & 0.9719 & 0.9067 & 0.9578 & 0.8600 & 0.9440 & 0.1770 \\
cleveland & 0.7897 & 0.5900 & 0.6680 & 0.3612 & 0.7660 & 0.3547 \\
led7digit & 0.6960 & 0.6360 & 0.6611 & 0.5938 & 0.7896 & 0.5439 \\
pima & 0.8491 & 0.6987 & 0.6628 & 0.3313 & 0.7544 & 1.1701 \\
wdbc & 0.9690 & 0.9436 & 0.9326 & 0.8779 & 0.9295 & 1.2770 \\
monk2 & 0.9051 & 0.8259 & 0.8102 & 0.6525 & 0.8477 & 0.5597 \\
wisconsin & 0.9749 & 0.9678 & 0.9448 & 0.9287 & 0.9416 & 1.6467 \\
wine & 0.9813 & 0.9529 & 0.9716 & 0.9287 & 0.9388 & 0.2556 \\
glass & 0.8988 & 0.7577 & 0.8527 & 0.6446 & 0.7921 & 0.2154 \\
banknote & 0.9988 & 0.9956 & 0.9975 & 0.9911 & 0.9557 & 4.2250 \\
appendicitis & 0.9769 & 0.9538 & 0.8837 & 0.6995 & 0.9528 & 0.1550 \\
balance & 0.8661 & 0.8038 & 0.7580 & 0.6512 & 0.8680 & 1.1141 \\
bands & 0.8429 & 0.6627 & 0.6643 & 0.2748 & 0.7595 & 0.4785 \\
contraceptive & 0.6965 & 0.4299 & 0.5307 & 0.1265 & 0.6687 & 2.9117 \\
dermatology & 0.9733 & 0.9398 & 0.9658 & 0.9223 & 0.9176 & 0.6511 \\
ecoli & 0.8972 & 0.8068 & 0.8509 & 0.7170 & 0.8262 & 0.4092 \\
haberman & 0.8490 & 0.6972 & 0.5479 & 0.1525 & 0.8183 & 0.3336 \\
hayes-roth & 0.8132 & 0.6625 & 0.7068 & 0.4650 & 0.7725 & 0.1315 \\
heart & 0.8951 & 0.7889 & 0.7874 & 0.5744 & 0.8378 & 0.3180 \\
hepatitis & 0.9208 & 0.8125 & 0.6281 & 0.3032 & 0.9475 & 0.0752 \\
mammographic & 0.8518 & 0.7675 & 0.7032 & 0.5344 & 0.8037 & 1.2999 \\
newthyroid & 0.9850 & 0.9571 & 0.9637 & 0.8975 & 0.9447 & 0.3174 \\
tae & 0.7918 & 0.5304 & 0.6832 & 0.2761 & 0.7755 & 0.1328 \\
vehicle & 0.8264 & 0.6728 & 0.7684 & 0.5635 & 0.7580 & 1.4625 \\
vowel & 0.9357 & 0.8566 & 0.9293 & 0.8422 & 0.7768 & 1.6761 \\
yeast & 0.7448 & 0.5117 & 0.6676 & 0.3623 & 0.6821 & 2.9498 \\
 & 0.8808 & 0.7742 & 0.7884 & 0.5974 & 0.8373 & 0.9554 \\
 &  &  &  &  &  &  \\
banana & 0.9000 & 0.8734 & 0.8081 & 0.7442 & 0.8382 & 2.5317 \\
cardiotocography & 0.8969 & 0.8868 & 0.7267 & 0.6805 & 0.9040 & 0.9384 \\
eye-state & 0.8451 & 0.7846 & 0.6955 & 0.5618 & 0.7367 & 11.6751 \\
page-blocks & 0.9573 & 0.9565 & 0.8093 & 0.7561 & 0.9377 & 4.9004 \\
penbased & 0.9825 & 0.9902 & 0.9817 & 0.9891 & 0.7955 & 7.5879 \\
satimage & 0.9093 & 0.8825 & 0.8905 & 0.8551 & 0.7698 & 4.3521 \\
thyroid & 0.9283 & 0.9178 & 0.5506 & 0.4085 & 0.8944 & 5.1864 \\
segment & 0.4875 & 0.1494 & 0.4038 & 0.0076 & 0.6400 & 0.8468 \\
coil2000 & 0.9012 & 0.8839 & 0.2681 & 0.0486 & 0.8554 & 10.9299 \\
magic & 0.8494 & 0.7970 & 0.6760 & 0.5430 & 0.7777 & 17.0458 \\
marketing & 0.5589 & 0.2727 & 0.4990 & 0.1714 & 0.6266 & 3.5809 \\
phoneme & 0.8828 & 0.8472 & 0.7270 & 0.6239 & 0.8041 & 2.4486 \\
ring & 0.9165 & 0.8703 & 0.8428 & 0.7400 & 0.7973 & 6.4466 \\
spambase & 0.9046 & 0.8869 & 0.8102 & 0.7617 & 0.8179 & 2.6913 \\
texture & 0.9709 & 0.9716 & 0.9689 & 0.9688 & 0.8216 & 3.1957 \\
titanic & 0.7669 & 0.7760 & 0.4271 & 0.4354 & 0.9272 & 0.7884 \\
twonorm & 0.9387 & 0.9326 & 0.8875 & 0.8651 & 0.8609 & 4.8417 \\
 & 0.8586 & 0.8047 & 0.7043 & 0.5977 & 0.8121 & 5.2934 \\
 &  &  &  &  &  &  \\
credit-card & 0.8019 & 0.7282 & 0.4316 & 0.2178 & 0.7528 & 20.3867 \\
shuttle & 0.9985 & 0.9986 & 0.9964 & 0.9959 & 0.9341 & 78.7762 \\
 & 0.9002 & 0.8634 & 0.7140 & 0.6069 & 0.8434 & 49.5815 \\
