iris & 0.9741 & 0.9400 & 0.9611 & 0.9100 & 0.9407 & 0.1854 \\
cleveland & 0.8058 & 0.5818 & 0.6817 & 0.3238 & 0.7593 & 0.3769 \\
led7digit & 0.6373 & 0.5680 & 0.5959 & 0.5179 & 0.7878 & 0.5826 \\
pima & 0.8325 & 0.6664 & 0.6258 & 0.2451 & 0.7874 & 1.1970 \\
wdbc & 0.9691 & 0.9362 & 0.9333 & 0.8622 & 0.9364 & 1.5751 \\
monk2 & 0.9059 & 0.8447 & 0.8116 & 0.6898 & 0.8435 & 0.5582 \\
wisconsin & 0.9764 & 0.9579 & 0.9481 & 0.9075 & 0.9621 & 5.2854 \\
wine & 0.9813 & 0.9548 & 0.9716 & 0.9310 & 0.9438 & 0.2875 \\
glass & 0.9081 & 0.7267 & 0.8674 & 0.6058 & 0.7790 & 0.2505 \\
banknote & 0.9973 & 0.9905 & 0.9946 & 0.9808 & 0.9780 & 6.2513 \\
appendicitis & 0.9759 & 0.9600 & 0.8770 & 0.6889 & 0.9585 & 0.1973 \\
balance & 0.8669 & 0.7695 & 0.7620 & 0.5936 & 0.8496 & 1.1170 \\
bands & 0.8499 & 0.6426 & 0.6746 & 0.2241 & 0.7751 & 0.5191 \\
contraceptive & 0.6974 & 0.4489 & 0.5335 & 0.1527 & 0.6686 & 2.8633 \\
dermatology & 0.9659 & 0.9278 & 0.9571 & 0.9089 & 0.9254 & 0.8536 \\
ecoli & 0.9025 & 0.8114 & 0.8576 & 0.7221 & 0.8435 & 0.4702 \\
haberman & 0.8453 & 0.6850 & 0.5383 & 0.0956 & 0.8183 & 0.3448 \\
hayes-roth & 0.7889 & 0.6313 & 0.6684 & 0.4175 & 0.7813 & 0.1321 \\
heart & 0.8934 & 0.7667 & 0.7839 & 0.5287 & 0.8581 & 0.3429 \\
hepatitis & 0.9167 & 0.8500 & 0.5894 & 0.3057 & 0.9550 & 0.0871 \\
mammographic & 0.8481 & 0.7422 & 0.6960 & 0.4842 & 0.8157 & 1.4781 \\
newthyroid & 0.9840 & 0.9361 & 0.9624 & 0.8492 & 0.9442 & 0.4025 \\
tae & 0.7991 & 0.5700 & 0.6965 & 0.3420 & 0.7722 & 0.1270 \\
vehicle & 0.8318 & 0.6569 & 0.7755 & 0.5421 & 0.7615 & 1.6007 \\
vowel & 0.9608 & 0.9202 & 0.9569 & 0.9122 & 0.7652 & 1.6396 \\
yeast & 0.7415 & 0.5222 & 0.6636 & 0.3770 & 0.6951 & 2.9597 \\
 & 0.8791 & 0.7695 & 0.7840 & 0.5815 & 0.8425 & 1.2187 \\
 &  &  &  &  &  &  \\
banana & 0.8885 & 0.8645 & 0.7846 & 0.7259 & 0.8845 & 3.2397 \\
cardiotocography & 0.8965 & 0.8788 & 0.7236 & 0.6507 & 0.9112 & 1.2179 \\
eye-state & 0.8339 & 0.7759 & 0.6746 & 0.5472 & 0.7736 & 11.8877 \\
page-blocks & 0.9549 & 0.9532 & 0.7970 & 0.7406 & 0.9531 & 10.7988 \\
penbased & 0.9773 & 0.9826 & 0.9759 & 0.9807 & 0.9243 & 10.0667 \\
satimage & 0.9108 & 0.8825 & 0.8922 & 0.8551 & 0.8776 & 5.3487 \\
thyroid & 0.9257 & 0.9158 & 0.5344 & 0.4023 & 0.9175 & 6.8629 \\
segment & 0.4875 & 0.1455 & 0.4037 & 0.0030 & 0.6338 & 0.8590 \\
coil2000 & 0.8935 & 0.8766 & 0.2694 & 0.0713 & 0.8878 & 11.5184 \\
magic & 0.8408 & 0.7857 & 0.6621 & 0.5253 & 0.8168 & 19.2789 \\
marketing & 0.5485 & 0.2730 & 0.4871 & 0.1712 & 0.6361 & 3.6459 \\
phoneme & 0.8794 & 0.8488 & 0.7219 & 0.6320 & 0.8583 & 4.4701 \\
ring & 0.9086 & 0.8707 & 0.8270 & 0.7409 & 0.8571 & 7.7641 \\
spambase & 0.9001 & 0.8819 & 0.8018 & 0.7521 & 0.8753 & 2.7725 \\
texture & 0.9668 & 0.9667 & 0.9645 & 0.9634 & 0.8820 & 3.4171 \\
titanic & 0.7687 & 0.7755 & 0.4367 & 0.4387 & 0.9235 & 0.6296 \\
twonorm & 0.9368 & 0.9339 & 0.8836 & 0.8678 & 0.9175 & 5.7192 \\
 & 0.8540 & 0.8007 & 0.6965 & 0.5923 & 0.8547 & 6.4410 \\
 &  &  &  &  &  &  \\
credit-card & 0.7810 & 0.7039 & 0.4041 & 0.1919 & 0.7816 & 21.0698 \\
shuttle & 0.9984 & 0.9986 & 0.9963 & 0.9960 & 0.9797 & 189.1310 \\
 & 0.8897 & 0.8512 & 0.7002 & 0.5939 & 0.8807 & 105.1004 \\
