iris & 0.9526 & 0.9200 & 0.9289 & 0.8800 & 0.9720 & 0.1291 \\
cleveland & 0.6704 & 0.5825 & 0.4417 & 0.3001 & 0.9630 & 0.3670 \\
led7digit & 0.7624 & 0.7440 & 0.7357 & 0.7146 & 0.9682 & 0.5451 \\
pima & 0.8141 & 0.7239 & 0.5739 & 0.3599 & 0.9289 & 1.0341 \\
wdbc & 0.9615 & 0.9523 & 0.9166 & 0.8956 & 0.9761 & 0.9131 \\
monk2 & 0.8855 & 0.8515 & 0.7710 & 0.7034 & 0.9637 & 0.4827 \\
wisconsin & 0.9732 & 0.9592 & 0.9410 & 0.9110 & 0.9717 & 0.9064 \\
wine & 0.9652 & 0.9294 & 0.9470 & 0.8937 & 0.9758 & 0.1929 \\
glass & 0.7674 & 0.6870 & 0.6668 & 0.5421 & 0.9318 & 0.2286 \\
banknote & 0.9979 & 0.9971 & 0.9957 & 0.9941 & 0.8972 & 2.1298 \\
appendicitis & 0.9623 & 0.9438 & 0.7982 & 0.6792 & 0.9717 & 0.1422 \\
balance & 0.8855 & 0.8657 & 0.7851 & 0.7476 & 0.9522 & 0.7496 \\
bands & 0.7729 & 0.6596 & 0.4840 & 0.2229 & 0.9408 & 0.4344 \\
contraceptive & 0.5895 & 0.4678 & 0.3628 & 0.1731 & 0.9041 & 2.5653 \\
dermatology & 0.9634 & 0.9445 & 0.9531 & 0.9287 & 0.9721 & 0.5299 \\
ecoli & 0.8505 & 0.7960 & 0.7829 & 0.7055 & 0.9589 & 0.3897 \\
haberman & 0.7905 & 0.7611 & 0.3168 & 0.2320 & 0.9863 & 0.3135 \\
hayes-roth & 0.7361 & 0.6125 & 0.5920 & 0.3955 & 0.9219 & 0.1379 \\
heart & 0.8646 & 0.8148 & 0.7237 & 0.6222 & 0.9756 & 0.2903 \\
hepatitis & 0.9125 & 0.8750 & 0.6779 & 0.4848 & 0.9663 & 0.0864 \\
mammographic & 0.8454 & 0.8060 & 0.6904 & 0.6117 & 0.9370 & 1.0858 \\
newthyroid & 0.9612 & 0.9399 & 0.9068 & 0.8557 & 0.9819 & 0.2263 \\
tae & 0.6689 & 0.4892 & 0.5023 & 0.2263 & 0.9285 & 0.1184 \\
vehicle & 0.7833 & 0.6747 & 0.7111 & 0.5660 & 0.8928 & 1.2502 \\
vowel & 0.9364 & 0.8828 & 0.9300 & 0.8711 & 0.7685 & 1.5126 \\
yeast & 0.6426 & 0.5642 & 0.5311 & 0.4273 & 0.8965 & 2.5965 \\
 & 0.8429 & 0.7863 & 0.7179 & 0.6132 & 0.9424 & 0.7445 \\
 &  &  &  &  &  &  \\
banana & 0.8875 & 0.8851 & 0.7821 & 0.7671 & 0.9598 & 2.2316 \\
cardiotocography & 0.8724 & 0.8672 & 0.6601 & 0.6284 & 0.9721 & 0.8639 \\
eye-state & 0.7984 & 0.7754 & 0.6033 & 0.5467 & 0.8776 & 11.5479 \\
page-blocks & 0.9490 & 0.9560 & 0.7510 & 0.7428 & 0.9809 & 2.8736 \\
penbased & 0.9773 & 0.9850 & 0.9758 & 0.9833 & 0.8884 & 7.0029 \\
satimage & 0.8864 & 0.8855 & 0.8618 & 0.8583 & 0.9375 & 4.0794 \\
thyroid & 0.9358 & 0.9442 & 0.4030 & 0.3912 & 0.9758 & 4.4285 \\
segment & 0.1882 & 0.1407 & 0.0545 & -0.0025 & 0.9614 & 1.0229 \\
coil2000 & 0.9228 & 0.9289 & 0.0935 & 0.0487 & 0.9579 & 14.3025 \\
magic & 0.8528 & 0.8260 & 0.6778 & 0.6012 & 0.7430 & 16.7927 \\
marketing & 0.3476 & 0.2971 & 0.2503 & 0.1907 & 0.9427 & 3.5624 \\
phoneme & 0.8321 & 0.8242 & 0.6084 & 0.5759 & 0.9494 & 2.3561 \\
ring & 0.7809 & 0.7707 & 0.5702 & 0.5393 & 0.9521 & 4.4712 \\
spambase & 0.8729 & 0.8732 & 0.7418 & 0.7311 & 0.9653 & 2.9880 \\
texture & 0.9503 & 0.9540 & 0.9464 & 0.9494 & 0.9139 & 3.2882 \\
titanic & 0.7763 & 0.7833 & 0.4493 & 0.4514 & 0.9898 & 0.5746 \\
twonorm & 0.9520 & 0.9573 & 0.9140 & 0.9146 & 0.9383 & 4.2723 \\
 & 0.8107 & 0.8032 & 0.6084 & 0.5834 & 0.9356 & 5.0976 \\
 &  &  &  &  &  &  \\
credit-card & 0.8010 & 0.7950 & 0.3551 & 0.3325 & 0.9622 & 17.9675 \\
shuttle & 0.9976 & 0.9978 & 0.9940 & 0.9937 & 0.8843 & 36.7365 \\
 & 0.8993 & 0.8964 & 0.6746 & 0.6631 & 0.9233 & 27.3520 \\
