iris & 0.9674 & 0.9600 & 0.9511 & 0.9400 & 0.8693 & 0.1472 \\
cleveland & 0.7258 & 0.6011 & 0.5452 & 0.3391 & 0.8253 & 0.4247 \\
led7digit & 0.7618 & 0.6880 & 0.7346 & 0.6516 & 0.7902 & 0.6063 \\
pima & 0.8420 & 0.7403 & 0.6424 & 0.4055 & 0.7372 & 1.1757 \\
wdbc & 0.9799 & 0.9597 & 0.9564 & 0.9119 & 0.7274 & 0.9593 \\
monk2 & 0.8987 & 0.7587 & 0.7964 & 0.5142 & 0.7498 & 0.5481 \\
wisconsin & 0.9793 & 0.9593 & 0.9543 & 0.9087 & 0.7158 & 0.9413 \\
wine & 0.9776 & 0.9588 & 0.9658 & 0.9375 & 0.8472 & 0.2131 \\
glass & 0.8588 & 0.6863 & 0.7976 & 0.5411 & 0.7921 & 0.2460 \\
banknote & 0.9997 & 0.9986 & 0.9993 & 0.9971 & 0.6555 & 2.5586 \\
appendicitis & 0.9476 & 0.9238 & 0.7417 & 0.5986 & 0.9245 & 0.0900 \\
balance & 0.8924 & 0.8675 & 0.8001 & 0.7526 & 0.7298 & 0.7682 \\
bands & 0.8313 & 0.6850 & 0.6312 & 0.3014 & 0.7701 & 0.4592 \\
contraceptive & 0.6334 & 0.4609 & 0.4340 & 0.1708 & 0.7903 & 3.2616 \\
dermatology & 0.9702 & 0.9387 & 0.9624 & 0.9226 & 0.7684 & 0.5990 \\
ecoli & 0.8939 & 0.8422 & 0.8460 & 0.7688 & 0.7890 & 0.4199 \\
haberman & 0.8279 & 0.7311 & 0.4790 & 0.1877 & 0.8108 & 0.3237 \\
hayes-roth & 0.8167 & 0.7063 & 0.7128 & 0.5367 & 0.7875 & 0.1310 \\
heart & 0.9008 & 0.8185 & 0.7980 & 0.6307 & 0.8019 & 0.3099 \\
hepatitis & 0.9236 & 0.8375 & 0.6029 & 0.1971 & 0.9425 & 0.0762 \\
mammographic & 0.8625 & 0.7855 & 0.7249 & 0.5703 & 0.7265 & 1.2844 \\
newthyroid & 0.9783 & 0.9399 & 0.9487 & 0.8453 & 0.8260 & 0.2164 \\
tae & 0.7550 & 0.5438 & 0.6298 & 0.3072 & 0.8278 & 0.1260 \\
vehicle & 0.8144 & 0.6929 & 0.7526 & 0.5905 & 0.7273 & 1.4909 \\
vowel & 0.9787 & 0.9343 & 0.9765 & 0.9278 & 0.6441 & 1.7673 \\
yeast & 0.6890 & 0.5701 & 0.5911 & 0.4355 & 0.7624 & 3.2192 \\
 & 0.8733 & 0.7919 & 0.7683 & 0.6112 & 0.7823 & 0.8601 \\
 &  &  &  &  &  &  \\
banana & 0.8991 & 0.8864 & 0.8065 & 0.7708 & 0.7288 & 2.1969 \\
cardiotocography & 0.8910 & 0.8766 & 0.7018 & 0.6409 & 0.8060 & 0.8030 \\
eye-state & 0.8455 & 0.8005 & 0.6997 & 0.5990 & 0.7017 & 13.5620 \\
page-blocks & 0.9597 & 0.9620 & 0.8156 & 0.7792 & 0.7061 & 2.5222 \\
penbased & 0.9824 & 0.9908 & 0.9816 & 0.9898 & 0.6497 & 8.3334 \\
satimage & 0.9037 & 0.8884 & 0.8833 & 0.8620 & 0.7211 & 4.5211 \\
thyroid & 0.9397 & 0.9456 & 0.4656 & 0.4177 & 0.6880 & 4.4753 \\
segment & 0.2051 & 0.1325 & 0.0742 & -0.0121 & 0.9342 & 1.2889 \\
coil2000 & 0.9307 & 0.9321 & 0.1334 & 0.0155 & 0.6953 & 16.2075 \\
magic & 0.8506 & 0.8219 & 0.6713 & 0.5890 & 0.6946 & 19.2229 \\
marketing & 0.3668 & 0.2908 & 0.2718 & 0.1827 & 0.8889 & 4.5905 \\
phoneme & 0.8783 & 0.8540 & 0.7228 & 0.6493 & 0.7404 & 2.3454 \\
ring & 0.6895 & 0.6382 & 0.3855 & 0.2716 & 0.7558 & 4.1515 \\
spambase & 0.8997 & 0.8862 & 0.7988 & 0.7587 & 0.7447 & 3.3582 \\
texture & 0.9684 & 0.9733 & 0.9662 & 0.9706 & 0.6984 & 3.7807 \\
titanic & 0.7742 & 0.7819 & 0.4504 & 0.4549 & 0.8467 & 0.5041 \\
twonorm & 0.9562 & 0.9545 & 0.9225 & 0.9089 & 0.6800 & 4.5633 \\
 & 0.8200 & 0.8009 & 0.6324 & 0.5793 & 0.7459 & 5.6722 \\
 &  &  &  &  &  &  \\
credit-card & 0.8205 & 0.7796 & 0.4251 & 0.2915 & 0.7354 & 21.8477 \\
shuttle & 0.9989 & 0.9988 & 0.9975 & 0.9966 & 0.6292 & 47.9571 \\
 & 0.9097 & 0.8892 & 0.7113 & 0.6441 & 0.6823 & 34.9024 \\
