iris & 0.9541 & 0.9533 & 0.9311 & 0.9300 & 0.1413 & 1.4803 \\
cleveland & 0.6738 & 0.5659 & 0.4545 & 0.2666 & 0.4650 & 7.4858 \\
led7digit & 0.7144 & 0.6660 & 0.6819 & 0.6276 & 0.3834 & 10.2158 \\
pima & 0.8063 & 0.7271 & 0.5610 & 0.3728 & 0.3194 & 17.8755 \\
wdbc & 0.9670 & 0.9576 & 0.9275 & 0.9062 & 0.1381 & 38.7962 \\
monk2 & 0.8400 & 0.7310 & 0.6777 & 0.4589 & 0.2706 & 8.2817 \\
wisconsin & 0.9761 & 0.9651 & 0.9469 & 0.9223 & 0.1329 & 17.8421 \\
wine & 0.9494 & 0.9471 & 0.9237 & 0.9203 & 0.1455 & 4.4621 \\
glass & 0.8043 & 0.7164 & 0.7185 & 0.5900 & 0.2916 & 3.5409 \\
banknote & 0.9979 & 0.9978 & 0.9957 & 0.9956 & 0.1019 & 26.7934 \\
appendicitis & 0.9581 & 0.9438 & 0.7735 & 0.6611 & 0.1613 & 1.1819 \\
balance & 0.9092 & 0.8688 & 0.8337 & 0.7590 & 0.2474 & 11.3776 \\
bands & 0.7811 & 0.6753 & 0.5171 & 0.2805 & 0.3200 & 13.0032 \\
contraceptive & 0.6226 & 0.4706 & 0.4174 & 0.1848 & 0.5267 & 41.4551 \\
dermatology & 0.9640 & 0.9462 & 0.9541 & 0.9313 & 0.1369 & 25.6686 \\
ecoli & 0.8810 & 0.8522 & 0.8270 & 0.7833 & 0.2595 & 6.8828 \\
haberman & 0.8010 & 0.7122 & 0.4381 & 0.1458 & 0.3216 & 3.8786 \\
hayes-roth & 0.8153 & 0.6250 & 0.7060 & 0.3870 & 0.2931 & 1.6927 \\
heart & 0.8617 & 0.8000 & 0.7196 & 0.5942 & 0.2667 & 7.2303 \\
hepatitis & 0.8931 & 0.8875 & 0.5329 & 0.4000 & 0.2188 & 1.6808 \\
mammographic & 0.8454 & 0.7711 & 0.6909 & 0.5418 & 0.2852 & 17.0408 \\
newthyroid & 0.9623 & 0.9456 & 0.9118 & 0.8662 & 0.1340 & 2.6122 \\
tae & 0.7579 & 0.5571 & 0.6337 & 0.3278 & 0.3450 & 1.6246 \\
vehicle & 0.7817 & 0.6847 & 0.7089 & 0.5792 & 0.3258 & 30.7541 \\
vowel & 0.9892 & 0.9758 & 0.9881 & 0.9733 & 0.1097 & 35.4269 \\
yeast & 0.6795 & 0.5729 & 0.5786 & 0.4377 & 0.4485 & 41.3776 \\
 & 0.8533 & 0.7891 & 0.7327 & 0.6093 & 0.2611 & 14.6024 \\
 &  &  &  &  &  &  \\
banana & 0.9326 & 0.8866 & 0.8743 & 0.7714 & 0.2005 & 40.9813 \\
cardiotocography & 0.9373 & 0.9015 & 0.8397 & 0.7162 & 0.2209 & 20.6367 \\
eye-state & 0.9088 & 0.8282 & 0.8270 & 0.6547 & 0.3007 & 207.7310 \\
page-blocks & 0.9690 & 0.9656 & 0.8694 & 0.8018 & 0.1413 & 57.1816 \\
penbased & 0.9844 & 0.9924 & 0.9837 & 0.9915 & 0.1169 & 169.9620 \\
satimage & 0.9241 & 0.8960 & 0.9086 & 0.8715 & 0.2172 & 144.5530 \\
thyroid & 0.9431 & 0.9451 & 0.5049 & 0.4152 & 0.1509 & 114.0900 \\
segment & 0.2854 & 0.1437 & 0.1679 & 0.0010 & 0.8145 & 25.7382 \\
coil2000 & 0.9377 & 0.9314 & 0.2758 & 0.0670 & 0.1968 & 465.3530 \\
magic & 0.8914 & 0.8303 & 0.7665 & 0.6106 & 0.2775 & 250.8440 \\
marketing & 0.4381 & 0.2958 & 0.3566 & 0.1914 & 0.6979 & 102.7230 \\
phoneme & 0.9308 & 0.8858 & 0.8481 & 0.7263 & 0.2446 & 45.7861 \\
ring & 0.6693 & 0.6020 & 0.3447 & 0.1980 & 0.4323 & 95.1795 \\
spambase & 0.9383 & 0.9067 & 0.8814 & 0.8027 & 0.2322 & 134.9760 \\
texture & 0.9771 & 0.9827 & 0.9758 & 0.9810 & 0.1475 & 140.3440 \\
titanic & 0.7680 & 0.7746 & 0.4346 & 0.4355 & 0.3282 & 9.3024 \\
twonorm & 0.9723 & 0.9526 & 0.9545 & 0.9051 & 0.1461 & 114.0080 \\
 & 0.8475 & 0.8071 & 0.6949 & 0.5965 & 0.2862 & 125.8465 \\
 &  &  &  &  &  &  \\
credit-card & 0.8728 & 0.7793 & 0.5922 & 0.2944 & 0.2770 & 541.2280 \\
shuttle & 0.9985 & 0.9987 & 0.9965 & 0.9962 & 0.0233 & 794.8520 \\
 & 0.9357 & 0.8890 & 0.7944 & 0.6453 & 0.1502 & 668.0400 \\
