iris & 0.9674 & 0.9400 & 0.9511 & 0.9100 & 0.9700 & 0.1274 \\
cleveland & 0.6887 & 0.5646 & 0.4708 & 0.2789 & 0.9492 & 0.3316 \\
led7digit & 0.7700 & 0.7500 & 0.7440 & 0.7213 & 0.9650 & 0.5179 \\
pima & 0.8145 & 0.7104 & 0.5781 & 0.3404 & 0.9069 & 0.9370 \\
wdbc & 0.9652 & 0.9454 & 0.9246 & 0.8819 & 0.9740 & 0.8264 \\
monk2 & 0.8819 & 0.8244 & 0.7642 & 0.6501 & 0.9477 & 0.4550 \\
wisconsin & 0.9763 & 0.9607 & 0.9478 & 0.9150 & 0.9659 & 1.0389 \\
wine & 0.9650 & 0.9294 & 0.9465 & 0.8910 & 0.9725 & 0.1927 \\
glass & 0.8033 & 0.7046 & 0.7063 & 0.5670 & 0.9327 & 0.2082 \\
banknote & 0.9985 & 0.9964 & 0.9969 & 0.9926 & 0.8961 & 2.1539 \\
appendicitis & 0.9560 & 0.9075 & 0.8038 & 0.4920 & 0.9736 & 0.1182 \\
balance & 0.8695 & 0.8549 & 0.7554 & 0.7281 & 0.9526 & 0.7160 \\
bands & 0.7678 & 0.6398 & 0.4652 & 0.1757 & 0.9496 & 0.4576 \\
contraceptive & 0.6172 & 0.4582 & 0.4071 & 0.1685 & 0.8392 & 2.4165 \\
dermatology & 0.9553 & 0.9346 & 0.9433 & 0.9168 & 0.9704 & 0.5322 \\
ecoli & 0.8605 & 0.8275 & 0.7988 & 0.7507 & 0.9604 & 0.3802 \\
haberman & 0.7938 & 0.7506 & 0.3261 & 0.2283 & 0.9843 & 0.3200 \\
hayes-roth & 0.7431 & 0.6500 & 0.6008 & 0.4526 & 0.9244 & 0.1371 \\
heart & 0.8601 & 0.8222 & 0.7153 & 0.6362 & 0.9767 & 0.2643 \\
hepatitis & 0.9083 & 0.8875 & 0.5886 & 0.4257 & 0.9638 & 0.0837 \\
mammographic & 0.8446 & 0.7976 & 0.6891 & 0.5953 & 0.9237 & 0.9804 \\
newthyroid & 0.9633 & 0.9628 & 0.9088 & 0.9072 & 0.9842 & 0.2442 \\
tae & 0.6799 & 0.4963 & 0.5171 & 0.2344 & 0.9238 & 0.1370 \\
vehicle & 0.7766 & 0.6744 & 0.7021 & 0.5656 & 0.8819 & 1.1214 \\
vowel & 0.9300 & 0.8737 & 0.9230 & 0.8611 & 0.7779 & 1.4420 \\
yeast & 0.7014 & 0.5367 & 0.6082 & 0.3927 & 0.8005 & 2.4467 \\
 & 0.8484 & 0.7846 & 0.7224 & 0.6030 & 0.9333 & 0.7149 \\
 &  &  &  &  &  &  \\
banana & 0.8825 & 0.8779 & 0.7720 & 0.7525 & 0.9508 & 2.1428 \\
cardiotocography & 0.8731 & 0.8734 & 0.6457 & 0.6284 & 0.9742 & 0.8664 \\
eye-state & 0.8119 & 0.7798 & 0.6305 & 0.5553 & 0.8348 & 10.5138 \\
page-blocks & 0.9459 & 0.9512 & 0.7476 & 0.7303 & 0.9752 & 2.9450 \\
penbased & 0.9807 & 0.9886 & 0.9797 & 0.9874 & 0.8829 & 6.7662 \\
satimage & 0.8899 & 0.8873 & 0.8663 & 0.8608 & 0.9385 & 3.8026 \\
thyroid & 0.9368 & 0.9442 & 0.4603 & 0.4439 & 0.9591 & 4.1253 \\
segment & 0.2481 & 0.1472 & 0.1245 & 0.0051 & 0.9100 & 0.9087 \\
coil2000 & 0.9235 & 0.9287 & 0.1108 & 0.0501 & 0.9295 & 11.9566 \\
magic & 0.8575 & 0.8194 & 0.6889 & 0.5860 & 0.7224 & 15.2480 \\
marketing & 0.4103 & 0.2797 & 0.3281 & 0.1774 & 0.8467 & 3.2276 \\
phoneme & 0.8372 & 0.8244 & 0.6229 & 0.5780 & 0.9477 & 2.3684 \\
ring & 0.8877 & 0.8574 & 0.7852 & 0.7143 & 0.8887 & 4.2800 \\
spambase & 0.8648 & 0.8636 & 0.7258 & 0.7117 & 0.9597 & 2.7554 \\
texture & 0.9577 & 0.9642 & 0.9545 & 0.9606 & 0.9136 & 3.0292 \\
titanic & 0.7758 & 0.7837 & 0.4500 & 0.4549 & 0.9902 & 0.7179 \\
twonorm & 0.9503 & 0.9543 & 0.9105 & 0.9086 & 0.9387 & 4.0010 \\
 & 0.8255 & 0.8074 & 0.6355 & 0.5944 & 0.9154 & 4.6856 \\
 &  &  &  &  &  &  \\
credit-card & 0.7967 & 0.7860 & 0.3481 & 0.3110 & 0.9372 & 16.2408 \\
shuttle & 0.9983 & 0.9984 & 0.9960 & 0.9955 & 0.8826 & 46.9600 \\
 & 0.8975 & 0.8922 & 0.6721 & 0.6532 & 0.9099 & 31.6004 \\
