iris & 0.9630 & 0.9467 & 0.9444 & 0.9200 & 0.1340 & 1.4924 \\
cleveland & 0.8096 & 0.5459 & 0.6995 & 0.2790 & 0.2906 & 8.0685 \\
led7digit & 0.7038 & 0.6360 & 0.6693 & 0.5930 & 0.3022 & 10.2075 \\
pima & 0.8747 & 0.7025 & 0.7175 & 0.3308 & 0.2320 & 18.0607 \\
wdbc & 0.9701 & 0.9576 & 0.9348 & 0.9068 & 0.1351 & 39.1326 \\
monk2 & 0.8843 & 0.7333 & 0.7665 & 0.4622 & 0.2285 & 8.5056 \\
wisconsin & 0.9774 & 0.9593 & 0.9500 & 0.9095 & 0.1291 & 17.6931 \\
wine & 0.9619 & 0.9471 & 0.9422 & 0.9205 & 0.1348 & 4.6680 \\
glass & 0.8577 & 0.7657 & 0.7982 & 0.6660 & 0.2369 & 4.0254 \\
banknote & 0.9980 & 0.9978 & 0.9959 & 0.9956 & 0.1018 & 26.8554 \\
appendicitis & 0.9602 & 0.9238 & 0.8214 & 0.6144 & 0.1481 & 1.2215 \\
balance & 0.9193 & 0.8466 & 0.8508 & 0.7211 & 0.2227 & 11.3091 \\
bands & 0.8959 & 0.7068 & 0.7714 & 0.3534 & 0.2093 & 14.3717 \\
contraceptive & 0.7880 & 0.4583 & 0.6708 & 0.1612 & 0.3020 & 38.5490 \\
dermatology & 0.9637 & 0.9548 & 0.9538 & 0.9423 & 0.1355 & 25.9527 \\
ecoli & 0.9111 & 0.8205 & 0.8712 & 0.7389 & 0.2012 & 6.9918 \\
haberman & 0.8627 & 0.7128 & 0.6145 & 0.1416 & 0.2448 & 4.0245 \\
hayes-roth & 0.8472 & 0.6500 & 0.7582 & 0.4311 & 0.2231 & 1.5606 \\
heart & 0.9058 & 0.8074 & 0.8091 & 0.6068 & 0.2044 & 7.3741 \\
hepatitis & 0.9431 & 0.8750 & 0.7678 & 0.3314 & 0.1613 & 1.9428 \\
mammographic & 0.8665 & 0.7554 & 0.7329 & 0.5107 & 0.2234 & 16.4364 \\
newthyroid & 0.9737 & 0.9504 & 0.9379 & 0.8781 & 0.1242 & 2.4817 \\
tae & 0.8021 & 0.5567 & 0.6999 & 0.3246 & 0.2417 & 1.6441 \\
vehicle & 0.8735 & 0.7045 & 0.8313 & 0.6058 & 0.2326 & 32.8126 \\
vowel & 0.9921 & 0.9798 & 0.9914 & 0.9778 & 0.1078 & 35.3741 \\
yeast & 0.8246 & 0.5715 & 0.7714 & 0.4405 & 0.2779 & 39.3012 \\
 & 0.8973 & 0.7872 & 0.8182 & 0.6063 & 0.1994 & 14.6176 \\
 &  &  &  &  &  &  \\
banana & 0.9534 & 0.8830 & 0.9159 & 0.7632 & 0.1627 & 39.4244 \\
cardiotocography & 0.9491 & 0.9085 & 0.8736 & 0.7388 & 0.1989 & 20.8852 \\
eye-state & 0.9507 & 0.8331 & 0.9105 & 0.6622 & 0.2012 & 204.8410 \\
page-blocks & 0.9725 & 0.9655 & 0.8916 & 0.8053 & 0.1363 & 57.0765 \\
penbased & 0.9883 & 0.9941 & 0.9881 & 0.9934 & 0.1079 & 169.4890 \\
satimage & 0.9493 & 0.8982 & 0.9397 & 0.8744 & 0.1695 & 148.3270 \\
thyroid & 0.9850 & 0.9457 & 0.9524 & 0.5330 & 0.1088 & 116.3590 \\
segment & 0.6367 & 0.1515 & 0.5778 & 0.0101 & 0.4432 & 20.5384 \\
coil2000 & 0.9461 & 0.9223 & 0.4612 & 0.0722 & 0.1737 & 466.5530 \\
magic & 0.9156 & 0.8274 & 0.8216 & 0.6036 & 0.2259 & 239.1560 \\
marketing & 0.7100 & 0.2909 & 0.6706 & 0.1907 & 0.3459 & 86.5193 \\
phoneme & 0.9505 & 0.8967 & 0.8929 & 0.7445 & 0.1946 & 44.5310 \\
ring & 0.9572 & 0.7403 & 0.9243 & 0.4778 & 0.1505 & 112.5310 \\
spambase & 0.9611 & 0.9086 & 0.9291 & 0.8071 & 0.1779 & 142.4090 \\
texture & 0.9843 & 0.9867 & 0.9837 & 0.9854 & 0.1262 & 143.2200 \\
titanic & 0.7520 & 0.7596 & 0.3175 & 0.3208 & 0.3143 & 9.3336 \\
twonorm & 0.9785 & 0.9514 & 0.9670 & 0.9027 & 0.1296 & 116.0250 \\
 & 0.9141 & 0.8155 & 0.8246 & 0.6168 & 0.1981 & 125.7187 \\
 &  &  &  &  &  &  \\
credit-card & 0.9158 & 0.7605 & 0.7359 & 0.2502 & 0.1812 & 563.7580 \\
shuttle & 0.9990 & 0.9991 & 0.9978 & 0.9974 & 0.0239 & 798.9830 \\
 & 0.9574 & 0.9574 & 0.9574 & 0.6238 & 0.1025 & 681.3705 \\
