iris & 0.9719 & 0.9400 & 0.9578 & 0.9100 & 0.8660 & 0.1378 \\
cleveland & 0.7714 & 0.5521 & 0.6285 & 0.2937 & 0.7741 & 0.3678 \\
led7digit & 0.7518 & 0.7080 & 0.7235 & 0.6742 & 0.7688 & 0.5984 \\
pima & 0.8511 & 0.7071 & 0.6623 & 0.3430 & 0.7053 & 1.0767 \\
wdbc & 0.9814 & 0.9650 & 0.9600 & 0.9244 & 0.7286 & 0.9349 \\
monk2 & 0.9108 & 0.8679 & 0.8213 & 0.7356 & 0.7308 & 0.4828 \\
wisconsin & 0.9834 & 0.9593 & 0.9632 & 0.9099 & 0.7044 & 1.1348 \\
wine & 0.9812 & 0.9332 & 0.9714 & 0.8985 & 0.8534 & 0.2051 \\
glass & 0.8858 & 0.7394 & 0.8314 & 0.6143 & 0.7715 & 0.2164 \\
banknote & 0.9998 & 0.9978 & 0.9995 & 0.9956 & 0.6522 & 2.6565 \\
appendicitis & 0.9581 & 0.9338 & 0.7988 & 0.6732 & 0.9255 & 0.0928 \\
balance & 0.8928 & 0.8572 & 0.8017 & 0.7367 & 0.7210 & 0.7768 \\
bands & 0.8444 & 0.6999 & 0.6599 & 0.3276 & 0.7326 & 0.4967 \\
contraceptive & 0.6781 & 0.4434 & 0.5010 & 0.1394 & 0.6894 & 2.9036 \\
dermatology & 0.9811 & 0.9553 & 0.9758 & 0.9429 & 0.7623 & 0.5566 \\
ecoli & 0.9018 & 0.7977 & 0.8564 & 0.7027 & 0.7619 & 0.3897 \\
haberman & 0.8464 & 0.7283 & 0.5532 & 0.2168 & 0.7784 & 0.2862 \\
hayes-roth & 0.8229 & 0.6938 & 0.7211 & 0.5151 & 0.7706 & 0.1423 \\
heart & 0.8979 & 0.7963 & 0.7930 & 0.5848 & 0.7889 & 0.3207 \\
hepatitis & 0.9097 & 0.8000 & 0.6258 & 0.1505 & 0.9188 & 0.0698 \\
mammographic & 0.8581 & 0.7904 & 0.7159 & 0.5801 & 0.7120 & 1.1591 \\
newthyroid & 0.9788 & 0.9533 & 0.9491 & 0.8851 & 0.8228 & 0.2067 \\
tae & 0.7741 & 0.5163 & 0.6589 & 0.2699 & 0.7742 & 0.1266 \\
vehicle & 0.8415 & 0.6824 & 0.7886 & 0.5763 & 0.6903 & 1.4604 \\
vowel & 0.9786 & 0.9384 & 0.9764 & 0.9322 & 0.6408 & 1.7282 \\
yeast & 0.7376 & 0.5568 & 0.6558 & 0.4158 & 0.6778 & 3.0048 \\
 & 0.8843 & 0.7890 & 0.7904 & 0.6134 & 0.7586 & 0.8282 \\
 &  &  &  &  &  &  \\
banana & 0.9097 & 0.8842 & 0.8273 & 0.7651 & 0.7089 & 2.0860 \\
cardiotocography & 0.9044 & 0.8889 & 0.7396 & 0.6723 & 0.7899 & 0.7867 \\
eye-state & 0.8605 & 0.8037 & 0.7280 & 0.6027 & 0.6566 & 12.4354 \\
page-blocks & 0.9618 & 0.9644 & 0.8329 & 0.7988 & 0.7063 & 2.7204 \\
penbased & 0.9840 & 0.9904 & 0.9833 & 0.9893 & 0.6511 & 8.0300 \\
satimage & 0.9152 & 0.8953 & 0.8976 & 0.8707 & 0.6979 & 4.2810 \\
thyroid & 0.9529 & 0.9424 & 0.6829 & 0.4985 & 0.6739 & 4.2335 \\
segment & 0.3945 & 0.1390 & 0.2952 & -0.0045 & 0.7362 & 0.8872 \\
coil2000 & 0.9282 & 0.9192 & 0.2377 & 0.0296 & 0.6844 & 13.9876 \\
magic & 0.8613 & 0.8201 & 0.6963 & 0.5853 & 0.6673 & 17.2626 \\
marketing & 0.4879 & 0.2724 & 0.4171 & 0.1692 & 0.7186 & 3.6747 \\
phoneme & 0.8945 & 0.8664 & 0.7535 & 0.6678 & 0.7110 & 2.2860 \\
ring & 0.8581 & 0.7457 & 0.7256 & 0.4890 & 0.6467 & 4.4507 \\
spambase & 0.9139 & 0.8884 & 0.8297 & 0.7645 & 0.7159 & 3.0871 \\
texture & 0.9740 & 0.9758 & 0.9724 & 0.9734 & 0.6861 & 3.5499 \\
titanic & 0.7798 & 0.7883 & 0.4323 & 0.4388 & 0.8499 & 0.5530 \\
twonorm & 0.9547 & 0.9481 & 0.9194 & 0.8962 & 0.6822 & 4.3375 \\
 & 0.8550 & 0.8078 & 0.7042 & 0.6004 & 0.7049 & 5.2147 \\
 &  &  &  &  &  &  \\
credit-card & 0.8234 & 0.7621 & 0.4512 & 0.2574 & 0.7019 & 20.4495 \\
shuttle & 0.9990 & 0.9989 & 0.9979 & 0.9969 & 0.6318 & 58.1472 \\
 & 0.9112 & 0.8805 & 0.7245 & 0.6272 & 0.6668 & 39.2984 \\
