iris,0.9452,0.94,0.9178,0.91,0.9667,0.128,0.95335,0.93835,Cnn-chc
cleveland,0.6824,0.5735,0.4687,0.2898,0.9508,0.3327,0.76215,0.6203,Cnn-chc
led7digit,0.7407,0.718,0.7114,0.6863,0.9576,0.4912,0.8378,0.82195,Cnn-chc
pima,0.8177,0.7273,0.5885,0.382,0.9167,1.0538,0.822,0.64935,Cnn-chc
wdbc,0.9567,0.9311,0.9051,0.8525,0.9851,0.9464,0.9581,0.9188,Cnn-chc
monk2,0.9295,0.9075,0.8589,0.8153,0.9671,0.5052,0.9373,0.8912,Cnn-chc
wisconsin,0.9723,0.9593,0.9389,0.9093,0.9924,2.3531,0.97585,0.95085,Cnn-chc
wine,0.9631,0.9706,0.9439,0.9551,0.9702,0.1832,0.9704,0.96265,Cnn-chc
glass,0.8172,0.6815,0.7366,0.5386,0.915,0.1969,0.79825,0.7268,Cnn-chc
banknote,0.9938,0.9869,0.9875,0.9734,0.9827,2.1826,0.9848,0.97805,Cnn-chc
appendicitis,0.9602,0.9175,0.8315,0.592,0.9755,0.1196,0.9465,0.78375,Cnn-chc
balance,0.8535,0.8053,0.7281,0.641,0.9581,0.8653,0.8817,0.79955,Cnn-chc
bands,0.761,0.6755,0.4572,0.2639,0.9438,0.4083,0.80965,0.60385,Cnn-chc
contraceptive,0.636,0.461,0.4381,0.1721,0.8007,2.3267,0.63085,0.4864,Cnn-chc
dermatology,0.9526,0.905,0.9396,0.8789,0.9707,0.5386,0.93785,0.9248,Cnn-chc
ecoli,0.8526,0.7865,0.7871,0.6893,0.953,0.4642,0.86975,0.82115,Cnn-chc
haberman,0.7894,0.7389,0.3108,0.1839,0.9856,0.348,0.86225,0.58475,Cnn-chc
hayes-roth,0.7292,0.625,0.5779,0.4102,0.9344,0.1447,0.7797,0.6723,Cnn-chc
heart,0.858,0.7963,0.7123,0.5873,0.9759,0.2957,0.8861,0.7816,Cnn-chc
hepatitis,0.9181,0.85,0.6438,0.3686,0.965,0.0828,0.9075,0.6668,Cnn-chc
mammographic,0.8276,0.812,0.6552,0.6242,0.9696,1.2071,0.8908,0.7969,Cnn-chc
newthyroid,0.9716,0.9608,0.9311,0.9058,0.9767,0.3146,0.96875,0.94125,Cnn-chc
tae,0.6542,0.4646,0.4782,0.1843,0.9272,0.139,0.6959,0.55575,Cnn-chc
vehicle,0.7987,0.6744,0.7315,0.5656,0.8805,1.214,0.77745,0.72305,Cnn-chc
vowel,0.9621,0.903,0.9583,0.8933,0.8136,1.2354,0.8583,0.85345,Cnn-chc
yeast,0.7427,0.5392,0.6628,0.3971,0.7664,2.4397,0.6528,0.58175,Cnn-chc
banana,0.8872,0.8851,0.7817,0.7671,0.9564,2.4352,0.92075,0.86175,Cnn-chc
cardiotocography,0.871,0.8752,0.6482,0.6389,0.9755,0.9279,0.92535,0.8072,Cnn-chc
eye-state,0.8377,0.7796,0.6823,0.555,0.7871,9.4798,0.78335,0.67105,Cnn-chc
page-blocks,0.9485,0.9538,0.7531,0.7341,0.9829,5.0899,0.96835,0.8585,Cnn-chc
penbased,0.9786,0.9867,0.9774,0.9852,0.936,5.5268,0.96135,0.9606,Cnn-chc
satimage,0.8871,0.8811,0.8626,0.8528,0.9473,3.8257,0.9142,0.90005,Cnn-chc
thyroid,0.9355,0.9443,0.43,0.4248,0.993,4.8042,0.96865,0.7089,Cnn-chc
segment,0.291,0.1506,0.1744,0.0091,0.8691,0.8686,0.50985,0.4391,Cnn-chc
coil2000,0.9302,0.9389,0.0163,0.0049,0.9874,9.2518,0.96315,0.49615,Cnn-chc
magic,0.8239,0.7935,0.6211,0.5393,0.8866,15.0822,0.84005,0.71295,Cnn-chc
marketing,0.4467,0.2704,0.369,0.1658,0.7859,3.2887,0.52815,0.47585,Cnn-chc
phoneme,0.8315,0.8249,0.6065,0.5757,0.9627,3.3927,0.8938,0.7692,Cnn-chc
ring,0.9092,0.9034,0.8283,0.8066,0.9561,6.2863,0.92975,0.88135,Cnn-chc
spambase,0.8681,0.8658,0.7342,0.7184,0.9771,2.191,0.92145,0.84775,Cnn-chc
texture,0.9547,0.9575,0.9511,0.9532,0.9215,2.4389,0.9395,0.93735,Cnn-chc
titanic,0.7753,0.781,0.4491,0.4481,0.9898,0.5828,0.8854,0.71895,Cnn-chc
twonorm,0.9391,0.9464,0.8882,0.8927,0.9841,3.7002,0.96525,0.9384,Cnn-chc
credit-card,0.7829,0.7763,0.3168,0.2937,0.97,15.7268,0.87315,0.63185,Cnn-chc
shuttle,0.9976,0.9978,0.994,0.9937,0.9841,60.9359,0.99095,0.9889,Cnn-chc
