iris,0.9593,0.9533,0.9389,0.93,0.9713,0.256,0.9623,0.9623,Cnn-ma
cleveland,0.734,0.5976,0.5674,0.341,0.9178,1.1617,0.7577,0.7577,Cnn-ma
led7digit,0.7636,0.764,0.7369,0.737,0.9688,1.7061,0.8664,0.8664,Cnn-ma
pima,0.8181,0.7408,0.5853,0.4129,0.9616,6.3759,0.8512,0.8512,Cnn-ma
wdbc,0.9692,0.9517,0.9332,0.8968,0.9835,4.3126,0.9676,0.9676,Cnn-ma
monk2,0.9601,0.9513,0.9201,0.9022,0.9722,2.2859,0.96175,0.96175,Cnn-ma
wisconsin,0.9749,0.9666,0.9449,0.9272,0.9918,10.8397,0.9792,0.9792,Cnn-ma
wine,0.967,0.9235,0.9497,0.8824,0.9674,0.4105,0.94545,0.94545,Cnn-ma
glass,0.838,0.7259,0.7628,0.5999,0.9005,0.5582,0.8132,0.8132,Cnn-ma
banknote,0.996,0.9949,0.9918,0.9897,0.9897,19.3378,0.9923,0.9923,Cnn-ma
appendicitis,0.9622,0.9338,0.8197,0.6226,0.9726,0.3812,0.9532,0.9532,Cnn-ma
balance,0.8704,0.8306,0.7579,0.6843,0.9618,4.4479,0.8962,0.8962,Cnn-ma
bands,0.7952,0.6745,0.5346,0.254,0.9318,1.4442,0.80315,0.80315,Cnn-ma
contraceptive,0.6397,0.4874,0.4369,0.1983,0.9238,34.5453,0.7056,0.7056,Cnn-ma
dermatology,0.9711,0.9359,0.9635,0.9185,0.962,1.6582,0.94895,0.94895,Cnn-ma
ecoli,0.877,0.8189,0.8208,0.7371,0.9438,1.6602,0.88135,0.88135,Cnn-ma
haberman,0.7988,0.785,0.3414,0.3042,0.983,1.6235,0.884,0.884,Cnn-ma
hayes-roth,0.7951,0.6625,0.6817,0.4761,0.9063,0.304,0.7844,0.7844,Cnn-ma
heart,0.8695,0.8074,0.7336,0.6065,0.9748,0.9108,0.8911,0.8911,Cnn-ma
hepatitis,0.925,0.875,0.6103,0.3771,0.9625,0.1547,0.91875,0.91875,Cnn-ma
mammographic,0.8473,0.8205,0.6945,0.6408,0.9807,10.7792,0.9006,0.9006,Cnn-ma
newthyroid,0.9731,0.9408,0.9343,0.8521,0.9767,0.9724,0.95875,0.95875,Cnn-ma
tae,0.7277,0.5238,0.5888,0.2769,0.8795,0.2448,0.70165,0.70165,Cnn-ma
vehicle,0.8039,0.632,0.7386,0.5085,0.9063,6.7557,0.76915,0.76915,Cnn-ma
vowel,0.9759,0.9141,0.9735,0.9056,0.8363,10.6054,0.8752,0.8752,Cnn-ma
yeast,0.6867,0.5546,0.5887,0.4161,0.9371,31.3284,0.74585,0.74585,Cnn-ma
banana,0.874,0.8594,0.7565,0.717,0.9243,23.6071,0.89185,0.89185,Cnn-ma
cardiotocography,0.8781,0.8798,0.6685,0.6528,0.9776,3.6315,0.9287,0.9287,Cnn-ma
eye-state,0.7818,0.7592,0.5695,0.5136,0.9208,184.265,0.84,0.84,Cnn-ma
page-blocks,0.9395,0.9461,0.6854,0.6734,0.9905,29.4964,0.9683,0.9683,Cnn-ma
penbased,0.9802,0.9871,0.9791,0.9856,0.9392,109.844,0.96315,0.96315,Cnn-ma
satimage,0.8773,0.8664,0.851,0.8352,0.9362,36.4186,0.9013,0.9013,Cnn-ma
thyroid,0.9321,0.9408,0.4125,0.4144,0.9969,30.0824,0.96885,0.96885,Cnn-ma
segment,0.178,0.1489,0.0427,0.0071,0.9731,3.7275,0.561,0.561,Cnn-ma
coil2000,0.9033,0.9409,0,0,0.9991,74.6177,0.97,0.97,Cnn-ma
magic,0.7938,0.7951,0.5462,0.5362,0.9934,263.405,0.89425,0.89425,Cnn-ma
marketing,0.4412,0.2817,0.3632,0.1794,0.8123,57.3855,0.547,0.547,Cnn-ma
phoneme,0.826,0.8223,0.5917,0.5671,0.9715,21.4618,0.8969,0.8969,Cnn-ma
ring,0.8409,0.8426,0.6912,0.6844,0.9867,49.454,0.91465,0.91465,Cnn-ma
spambase,0.8803,0.8743,0.7595,0.7359,0.9675,11.3417,0.9209,0.9209,Cnn-ma
texture,0.957,0.9625,0.9537,0.9588,0.903,48.3416,0.93275,0.93275,Cnn-ma
titanic,0.7763,0.7842,0.4455,0.4498,0.9869,3.5772,0.88555,0.88555,Cnn-ma
twonorm,0.9366,0.9449,0.8832,0.8897,0.9942,25.0392,0.96955,0.96955,Cnn-ma
credit-card,0.7874,0.7867,0.2759,0.2721,0.9969,98.1104,0.8918,0.8918,Cnn-ma
shuttle,0.9976,0.9986,0.9962,0.9961,0.98,1127.47,0.9893,0.9893,Cnn-ma
