iris,0.9644,0.94,0.9467,0.91,0.9727,0.1323,0.95635,0.94135,Cnn-rss-chc
cleveland,0.6924,0.5969,0.4606,0.2823,0.9535,0.3325,0.7752,0.6179,Cnn-rss-chc
led7digit,0.7267,0.7,0.6959,0.6659,0.964,0.4951,0.832,0.81495,Cnn-rss-chc
pima,0.8095,0.7296,0.5673,0.3839,0.9271,0.9923,0.82835,0.6555,Cnn-rss-chc
wdbc,0.9566,0.9303,0.9055,0.8497,0.9905,0.8764,0.9604,0.9201,Cnn-rss-chc
monk2,0.9252,0.9049,0.8501,0.81,0.9653,0.5571,0.9351,0.88765,Cnn-rss-chc
wisconsin,0.973,0.9679,0.9404,0.9287,0.9931,1.2903,0.9805,0.9609,Cnn-rss-chc
wine,0.9719,0.9471,0.9569,0.9182,0.9725,0.1798,0.9598,0.94535,Cnn-rss-chc
glass,0.7954,0.7109,0.7021,0.5814,0.9215,0.209,0.8162,0.75145,Cnn-rss-chc
banknote,0.9958,0.9942,0.9915,0.9881,0.9802,2.3484,0.9872,0.98415,Cnn-rss-chc
appendicitis,0.9498,0.9138,0.7707,0.5601,0.9708,0.1231,0.9423,0.76545,Cnn-rss-chc
balance,0.8514,0.8099,0.7218,0.6446,0.9603,0.8365,0.8851,0.80245,Cnn-rss-chc
bands,0.7756,0.6735,0.4974,0.261,0.9381,0.444,0.8058,0.59955,Cnn-rss-chc
contraceptive,0.5845,0.4671,0.3566,0.1746,0.8599,2.2979,0.6635,0.51725,Cnn-rss-chc
dermatology,0.9528,0.9198,0.9398,0.8978,0.9684,0.4987,0.9441,0.9331,Cnn-rss-chc
ecoli,0.8519,0.7839,0.7869,0.6901,0.958,0.432,0.87095,0.82405,Cnn-rss-chc
haberman,0.785,0.7622,0.2966,0.2072,0.9876,0.3616,0.8749,0.5974,Cnn-rss-chc
hayes-roth,0.7278,0.5625,0.5742,0.3116,0.9269,0.1477,0.7447,0.61925,Cnn-rss-chc
heart,0.8617,0.8,0.7184,0.5894,0.9807,0.2763,0.89035,0.78505,Cnn-rss-chc
hepatitis,0.9,0.7875,0.4285,0.0026,0.97,0.0713,0.87875,0.4863,Cnn-rss-chc
mammographic,0.8335,0.7928,0.6667,0.5849,0.96,1.1245,0.8764,0.77245,Cnn-rss-chc
newthyroid,0.9659,0.9447,0.9213,0.8775,0.9786,0.2718,0.96165,0.92805,Cnn-rss-chc
tae,0.6674,0.5571,0.499,0.3363,0.9278,0.1215,0.74245,0.63205,Cnn-rss-chc
vehicle,0.8088,0.6459,0.745,0.5272,0.868,1.1788,0.75695,0.6976,Cnn-rss-chc
vowel,0.9519,0.9051,0.947,0.8956,0.8132,1.3003,0.85915,0.8544,Cnn-rss-chc
yeast,0.6715,0.5163,0.5697,0.3669,0.8268,2.4174,0.67155,0.59685,Cnn-rss-chc
banana,0.8792,0.8785,0.7654,0.7538,0.9557,2.2206,0.9171,0.85475,Cnn-rss-chc
cardiotocography,0.8781,0.8766,0.6643,0.6402,0.9725,0.9069,0.92455,0.80635,Cnn-rss-chc
eye-state,0.8138,0.7754,0.6328,0.5445,0.8348,9.5799,0.8051,0.68965,Cnn-rss-chc
page-blocks,0.9441,0.9512,0.7199,0.7132,0.9873,4.1491,0.96925,0.85025,Cnn-rss-chc
penbased,0.9785,0.986,0.9773,0.9844,0.9193,6.0296,0.95265,0.95185,Cnn-rss-chc
satimage,0.8847,0.8768,0.8596,0.8474,0.9368,3.5942,0.9068,0.8921,Cnn-rss-chc
thyroid,0.9303,0.9392,0.341,0.3393,0.9924,4.8284,0.9658,0.66585,Cnn-rss-chc
segment,0.2703,0.1416,0.1503,-0.0015,0.8742,0.899,0.5079,0.43635,Cnn-rss-chc
coil2000,0.9257,0.9327,0.0725,0.0277,0.9833,9.3002,0.958,0.5055,Cnn-rss-chc
magic,0.8329,0.7904,0.64,0.5303,0.8337,14.2995,0.81205,0.682,Cnn-rss-chc
marketing,0.4297,0.2765,0.3504,0.1737,0.8099,3.3324,0.5432,0.4918,Cnn-rss-chc
phoneme,0.8373,0.8227,0.6201,0.5707,0.9532,2.5038,0.88795,0.76195,Cnn-rss-chc
ring,0.9208,0.9159,0.8515,0.8318,0.9416,5.802,0.92875,0.8867,Cnn-rss-chc
spambase,0.8743,0.8734,0.7503,0.738,0.9593,2.3094,0.91635,0.84865,Cnn-rss-chc
texture,0.9611,0.9656,0.9582,0.9622,0.9154,2.6238,0.9405,0.9388,Cnn-rss-chc
titanic,0.7675,0.7746,0.4285,0.4301,0.9906,0.7138,0.8826,0.71035,Cnn-rss-chc
twonorm,0.9416,0.9477,0.8933,0.8954,0.9829,3.8145,0.9653,0.93915,Cnn-rss-chc
credit-card,0.7912,0.7839,0.3192,0.2925,0.9655,15.992,0.8747,0.629,Cnn-rss-chc
shuttle,0.9979,0.9981,0.9947,0.9945,0.9784,51.448,0.98825,0.98645,Cnn-rss-chc
