iris,0.9719,0.9067,0.9578,0.86,0.944,0.177,0.92535,0.902,Cnn-rss-ssga
cleveland,0.7897,0.59,0.668,0.3612,0.766,0.3547,0.678,0.5636,Cnn-rss-ssga
led7digit,0.696,0.636,0.6611,0.5938,0.7896,0.5439,0.7128,0.6917,Cnn-rss-ssga
pima,0.8491,0.6987,0.6628,0.3313,0.7544,1.1701,0.72655,0.54285,Cnn-rss-ssga
wdbc,0.969,0.9436,0.9326,0.8779,0.9295,1.277,0.93655,0.9037,Cnn-rss-ssga
monk2,0.9051,0.8259,0.8102,0.6525,0.8477,0.5597,0.8368,0.7501,Cnn-rss-ssga
wisconsin,0.9749,0.9678,0.9448,0.9287,0.9416,1.6467,0.9547,0.93515,Cnn-rss-ssga
wine,0.9813,0.9529,0.9716,0.9287,0.9388,0.2556,0.94585,0.93375,Cnn-rss-ssga
glass,0.8988,0.7577,0.8527,0.6446,0.7921,0.2154,0.7749,0.71835,Cnn-rss-ssga
banknote,0.9988,0.9956,0.9975,0.9911,0.9557,4.225,0.97565,0.9734,Cnn-rss-ssga
appendicitis,0.9769,0.9538,0.8837,0.6995,0.9528,0.155,0.9533,0.82615,Cnn-rss-ssga
balance,0.8661,0.8038,0.758,0.6512,0.868,1.1141,0.8359,0.7596,Cnn-rss-ssga
bands,0.8429,0.6627,0.6643,0.2748,0.7595,0.4785,0.7111,0.51715,Cnn-rss-ssga
contraceptive,0.6965,0.4299,0.5307,0.1265,0.6687,2.9117,0.5493,0.3976,Cnn-rss-ssga
dermatology,0.9733,0.9398,0.9658,0.9223,0.9176,0.6511,0.9287,0.91995,Cnn-rss-ssga
ecoli,0.8972,0.8068,0.8509,0.717,0.8262,0.4092,0.8165,0.7716,Cnn-rss-ssga
haberman,0.849,0.6972,0.5479,0.1525,0.8183,0.3336,0.75775,0.4854,Cnn-rss-ssga
hayes-roth,0.8132,0.6625,0.7068,0.465,0.7725,0.1315,0.7175,0.61875,Cnn-rss-ssga
heart,0.8951,0.7889,0.7874,0.5744,0.8378,0.318,0.81335,0.7061,Cnn-rss-ssga
hepatitis,0.9208,0.8125,0.6281,0.3032,0.9475,0.0752,0.88,0.62535,Cnn-rss-ssga
mammographic,0.8518,0.7675,0.7032,0.5344,0.8037,1.2999,0.7856,0.66905,Cnn-rss-ssga
newthyroid,0.985,0.9571,0.9637,0.8975,0.9447,0.3174,0.9509,0.9211,Cnn-rss-ssga
tae,0.7918,0.5304,0.6832,0.2761,0.7755,0.1328,0.65295,0.5258,Cnn-rss-ssga
vehicle,0.8264,0.6728,0.7684,0.5635,0.758,1.4625,0.7154,0.66075,Cnn-rss-ssga
vowel,0.9357,0.8566,0.9293,0.8422,0.7768,1.6761,0.8167,0.8095,Cnn-rss-ssga
yeast,0.7448,0.5117,0.6676,0.3623,0.6821,2.9498,0.5969,0.5222,Cnn-rss-ssga
banana,0.9,0.8734,0.8081,0.7442,0.8382,2.5317,0.8558,0.7912,Cnn-rss-ssga
cardiotocography,0.8969,0.8868,0.7267,0.6805,0.904,0.9384,0.8954,0.79225,Cnn-rss-ssga
eye-state,0.8451,0.7846,0.6955,0.5618,0.7367,11.6751,0.76065,0.64925,Cnn-rss-ssga
page-blocks,0.9573,0.9565,0.8093,0.7561,0.9377,4.9004,0.9471,0.8469,Cnn-rss-ssga
penbased,0.9825,0.9902,0.9817,0.9891,0.7955,7.5879,0.89285,0.8923,Cnn-rss-ssga
satimage,0.9093,0.8825,0.8905,0.8551,0.7698,4.3521,0.82615,0.81245,Cnn-rss-ssga
thyroid,0.9283,0.9178,0.5506,0.4085,0.8944,5.1864,0.9061,0.65145,Cnn-rss-ssga
segment,0.4875,0.1494,0.4038,0.0076,0.64,0.8468,0.3947,0.3238,Cnn-rss-ssga
coil2000,0.9012,0.8839,0.2681,0.0486,0.8554,10.9299,0.86965,0.452,Cnn-rss-ssga
magic,0.8494,0.797,0.676,0.543,0.7777,17.0458,0.78735,0.66035,Cnn-rss-ssga
marketing,0.5589,0.2727,0.499,0.1714,0.6266,3.5809,0.44965,0.399,Cnn-rss-ssga
phoneme,0.8828,0.8472,0.727,0.6239,0.8041,2.4486,0.82565,0.714,Cnn-rss-ssga
ring,0.9165,0.8703,0.8428,0.74,0.7973,6.4466,0.8338,0.76865,Cnn-rss-ssga
spambase,0.9046,0.8869,0.8102,0.7617,0.8179,2.6913,0.8524,0.7898,Cnn-rss-ssga
texture,0.9709,0.9716,0.9689,0.9688,0.8216,3.1957,0.8966,0.8952,Cnn-rss-ssga
titanic,0.7669,0.776,0.4271,0.4354,0.9272,0.7884,0.8516,0.6813,Cnn-rss-ssga
twonorm,0.9387,0.9326,0.8875,0.8651,0.8609,4.8417,0.89675,0.863,Cnn-rss-ssga
credit-card,0.8019,0.7282,0.4316,0.2178,0.7528,20.3867,0.7405,0.4853,Cnn-rss-ssga
shuttle,0.9985,0.9986,0.9964,0.9959,0.9341,78.7762,0.96635,0.965,Cnn-rss-ssga
