iris,0.9741,0.94,0.9611,0.91,0.9407,0.1854,0.94035,0.92535,Cnn-ssga
cleveland,0.8058,0.5818,0.6817,0.3238,0.7593,0.3769,0.67055,0.54155,Cnn-ssga
led7digit,0.6373,0.568,0.5959,0.5179,0.7878,0.5826,0.6779,0.65285,Cnn-ssga
pima,0.8325,0.6664,0.6258,0.2451,0.7874,1.197,0.7269,0.51625,Cnn-ssga
wdbc,0.9691,0.9362,0.9333,0.8622,0.9364,1.5751,0.9363,0.8993,Cnn-ssga
monk2,0.9059,0.8447,0.8116,0.6898,0.8435,0.5582,0.8441,0.76665,Cnn-ssga
wisconsin,0.9764,0.9579,0.9481,0.9075,0.9621,5.2854,0.96,0.9348,Cnn-ssga
wine,0.9813,0.9548,0.9716,0.931,0.9438,0.2875,0.9493,0.9374,Cnn-ssga
glass,0.9081,0.7267,0.8674,0.6058,0.779,0.2505,0.75285,0.6924,Cnn-ssga
banknote,0.9973,0.9905,0.9946,0.9808,0.978,6.2513,0.98425,0.9794,Cnn-ssga
appendicitis,0.9759,0.96,0.877,0.6889,0.9585,0.1973,0.95925,0.8237,Cnn-ssga
balance,0.8669,0.7695,0.762,0.5936,0.8496,1.117,0.80955,0.7216,Cnn-ssga
bands,0.8499,0.6426,0.6746,0.2241,0.7751,0.5191,0.70885,0.4996,Cnn-ssga
contraceptive,0.6974,0.4489,0.5335,0.1527,0.6686,2.8633,0.55875,0.41065,Cnn-ssga
dermatology,0.9659,0.9278,0.9571,0.9089,0.9254,0.8536,0.9266,0.91715,Cnn-ssga
ecoli,0.9025,0.8114,0.8576,0.7221,0.8435,0.4702,0.82745,0.7828,Cnn-ssga
haberman,0.8453,0.685,0.5383,0.0956,0.8183,0.3448,0.75165,0.45695,Cnn-ssga
hayes-roth,0.7889,0.6313,0.6684,0.4175,0.7813,0.1321,0.7063,0.5994,Cnn-ssga
heart,0.8934,0.7667,0.7839,0.5287,0.8581,0.3429,0.8124,0.6934,Cnn-ssga
hepatitis,0.9167,0.85,0.5894,0.3057,0.955,0.0871,0.9025,0.63035,Cnn-ssga
mammographic,0.8481,0.7422,0.696,0.4842,0.8157,1.4781,0.77895,0.64995,Cnn-ssga
newthyroid,0.984,0.9361,0.9624,0.8492,0.9442,0.4025,0.94015,0.8967,Cnn-ssga
tae,0.7991,0.57,0.6965,0.342,0.7722,0.127,0.6711,0.5571,Cnn-ssga
vehicle,0.8318,0.6569,0.7755,0.5421,0.7615,1.6007,0.7092,0.6518,Cnn-ssga
vowel,0.9608,0.9202,0.9569,0.9122,0.7652,1.6396,0.8427,0.8387,Cnn-ssga
yeast,0.7415,0.5222,0.6636,0.377,0.6951,2.9597,0.60865,0.53605,Cnn-ssga
banana,0.8885,0.8645,0.7846,0.7259,0.8845,3.2397,0.8745,0.8052,Cnn-ssga
cardiotocography,0.8965,0.8788,0.7236,0.6507,0.9112,1.2179,0.895,0.78095,Cnn-ssga
eye-state,0.8339,0.7759,0.6746,0.5472,0.7736,11.8877,0.77475,0.6604,Cnn-ssga
page-blocks,0.9549,0.9532,0.797,0.7406,0.9531,10.7988,0.95315,0.84685,Cnn-ssga
penbased,0.9773,0.9826,0.9759,0.9807,0.9243,10.0667,0.95345,0.9525,Cnn-ssga
satimage,0.9108,0.8825,0.8922,0.8551,0.8776,5.3487,0.88005,0.86635,Cnn-ssga
thyroid,0.9257,0.9158,0.5344,0.4023,0.9175,6.8629,0.91665,0.6599,Cnn-ssga
segment,0.4875,0.1455,0.4037,0.003,0.6338,0.859,0.38965,0.3184,Cnn-ssga
coil2000,0.8935,0.8766,0.2694,0.0713,0.8878,11.5184,0.8822,0.47955,Cnn-ssga
magic,0.8408,0.7857,0.6621,0.5253,0.8168,19.2789,0.80125,0.67105,Cnn-ssga
marketing,0.5485,0.273,0.4871,0.1712,0.6361,3.6459,0.45455,0.40365,Cnn-ssga
phoneme,0.8794,0.8488,0.7219,0.632,0.8583,4.4701,0.85355,0.74515,Cnn-ssga
ring,0.9086,0.8707,0.827,0.7409,0.8571,7.7641,0.8639,0.799,Cnn-ssga
spambase,0.9001,0.8819,0.8018,0.7521,0.8753,2.7725,0.8786,0.8137,Cnn-ssga
texture,0.9668,0.9667,0.9645,0.9634,0.882,3.4171,0.92435,0.9227,Cnn-ssga
titanic,0.7687,0.7755,0.4367,0.4387,0.9235,0.6296,0.8495,0.6811,Cnn-ssga
twonorm,0.9368,0.9339,0.8836,0.8678,0.9175,5.7192,0.9257,0.89265,Cnn-ssga
credit-card,0.781,0.7039,0.4041,0.1919,0.7816,21.0698,0.74275,0.48675,Cnn-ssga
shuttle,0.9984,0.9986,0.9963,0.996,0.9797,189.131,0.98915,0.98785,Cnn-ssga
