iris,0.9674,0.94,0.9511,0.91,0.97,0.1274,0.955,0.94,Enn-rss-chc
cleveland,0.6887,0.5646,0.4708,0.2789,0.9492,0.3316,0.7569,0.61405,Enn-rss-chc
led7digit,0.77,0.75,0.744,0.7213,0.965,0.5179,0.8575,0.84315,Enn-rss-chc
pima,0.8145,0.7104,0.5781,0.3404,0.9069,0.937,0.80865,0.62365,Enn-rss-chc
wdbc,0.9652,0.9454,0.9246,0.8819,0.974,0.8264,0.9597,0.92795,Enn-rss-chc
monk2,0.8819,0.8244,0.7642,0.6501,0.9477,0.455,0.88605,0.7989,Enn-rss-chc
wisconsin,0.9763,0.9607,0.9478,0.915,0.9659,1.0389,0.9633,0.94045,Enn-rss-chc
wine,0.965,0.9294,0.9465,0.891,0.9725,0.1927,0.95095,0.93175,Enn-rss-chc
glass,0.8033,0.7046,0.7063,0.567,0.9327,0.2082,0.81865,0.74985,Enn-rss-chc
banknote,0.9985,0.9964,0.9969,0.9926,0.8961,2.1539,0.94625,0.94435,Enn-rss-chc
appendicitis,0.956,0.9075,0.8038,0.492,0.9736,0.1182,0.94055,0.7328,Enn-rss-chc
balance,0.8695,0.8549,0.7554,0.7281,0.9526,0.716,0.90375,0.84035,Enn-rss-chc
bands,0.7678,0.6398,0.4652,0.1757,0.9496,0.4576,0.7947,0.56265,Enn-rss-chc
contraceptive,0.6172,0.4582,0.4071,0.1685,0.8392,2.4165,0.6487,0.50385,Enn-rss-chc
dermatology,0.9553,0.9346,0.9433,0.9168,0.9704,0.5322,0.9525,0.9436,Enn-rss-chc
ecoli,0.8605,0.8275,0.7988,0.7507,0.9604,0.3802,0.89395,0.85555,Enn-rss-chc
haberman,0.7938,0.7506,0.3261,0.2283,0.9843,0.32,0.86745,0.6063,Enn-rss-chc
hayes-roth,0.7431,0.65,0.6008,0.4526,0.9244,0.1371,0.7872,0.6885,Enn-rss-chc
heart,0.8601,0.8222,0.7153,0.6362,0.9767,0.2643,0.89945,0.80645,Enn-rss-chc
hepatitis,0.9083,0.8875,0.5886,0.4257,0.9638,0.0837,0.92565,0.69475,Enn-rss-chc
mammographic,0.8446,0.7976,0.6891,0.5953,0.9237,0.9804,0.86065,0.7595,Enn-rss-chc
newthyroid,0.9633,0.9628,0.9088,0.9072,0.9842,0.2442,0.9735,0.9457,Enn-rss-chc
tae,0.6799,0.4963,0.5171,0.2344,0.9238,0.137,0.71005,0.5791,Enn-rss-chc
vehicle,0.7766,0.6744,0.7021,0.5656,0.8819,1.1214,0.77815,0.72375,Enn-rss-chc
vowel,0.93,0.8737,0.923,0.8611,0.7779,1.442,0.8258,0.8195,Enn-rss-chc
yeast,0.7014,0.5367,0.6082,0.3927,0.8005,2.4467,0.6686,0.5966,Enn-rss-chc
banana,0.8825,0.8779,0.772,0.7525,0.9508,2.1428,0.91435,0.85165,Enn-rss-chc
cardiotocography,0.8731,0.8734,0.6457,0.6284,0.9742,0.8664,0.9238,0.8013,Enn-rss-chc
eye-state,0.8119,0.7798,0.6305,0.5553,0.8348,10.5138,0.8073,0.69505,Enn-rss-chc
page-blocks,0.9459,0.9512,0.7476,0.7303,0.9752,2.945,0.9632,0.85275,Enn-rss-chc
penbased,0.9807,0.9886,0.9797,0.9874,0.8829,6.7662,0.93575,0.93515,Enn-rss-chc
satimage,0.8899,0.8873,0.8663,0.8608,0.9385,3.8026,0.9129,0.89965,Enn-rss-chc
thyroid,0.9368,0.9442,0.4603,0.4439,0.9591,4.1253,0.95165,0.7015,Enn-rss-chc
segment,0.2481,0.1472,0.1245,0.0051,0.91,0.9087,0.5286,0.45755,Enn-rss-chc
coil2000,0.9235,0.9287,0.1108,0.0501,0.9295,11.9566,0.9291,0.4898,Enn-rss-chc
magic,0.8575,0.8194,0.6889,0.586,0.7224,15.248,0.7709,0.6542,Enn-rss-chc
marketing,0.4103,0.2797,0.3281,0.1774,0.8467,3.2276,0.5632,0.51205,Enn-rss-chc
phoneme,0.8372,0.8244,0.6229,0.578,0.9477,2.3684,0.88605,0.76285,Enn-rss-chc
ring,0.8877,0.8574,0.7852,0.7143,0.8887,4.28,0.87305,0.8015,Enn-rss-chc
spambase,0.8648,0.8636,0.7258,0.7117,0.9597,2.7554,0.91165,0.8357,Enn-rss-chc
texture,0.9577,0.9642,0.9545,0.9606,0.9136,3.0292,0.9389,0.9371,Enn-rss-chc
titanic,0.7758,0.7837,0.45,0.4549,0.9902,0.7179,0.88695,0.72255,Enn-rss-chc
twonorm,0.9503,0.9543,0.9105,0.9086,0.9387,4.001,0.9465,0.92365,Enn-rss-chc
credit-card,0.7967,0.786,0.3481,0.311,0.9372,16.2408,0.8616,0.6241,Enn-rss-chc
shuttle,0.9983,0.9984,0.996,0.9955,0.8826,46.96,0.9405,0.93905,Enn-rss-chc
