iris,0.9674,0.96,0.9511,0.94,0.8693,0.1472,0.91465,0.90465,Enn-ssga
cleveland,0.7258,0.6011,0.5452,0.3391,0.8253,0.4247,0.7132,0.5822,Enn-ssga
led7digit,0.7618,0.688,0.7346,0.6516,0.7902,0.6063,0.7391,0.7209,Enn-ssga
pima,0.842,0.7403,0.6424,0.4055,0.7372,1.1757,0.73875,0.57135,Enn-ssga
wdbc,0.9799,0.9597,0.9564,0.9119,0.7274,0.9593,0.84355,0.81965,Enn-ssga
monk2,0.8987,0.7587,0.7964,0.5142,0.7498,0.5481,0.75425,0.632,Enn-ssga
wisconsin,0.9793,0.9593,0.9543,0.9087,0.7158,0.9413,0.83755,0.81225,Enn-ssga
wine,0.9776,0.9588,0.9658,0.9375,0.8472,0.2131,0.903,0.89235,Enn-ssga
glass,0.8588,0.6863,0.7976,0.5411,0.7921,0.246,0.7392,0.6666,Enn-ssga
banknote,0.9997,0.9986,0.9993,0.9971,0.6555,2.5586,0.82705,0.8263,Enn-ssga
appendicitis,0.9476,0.9238,0.7417,0.5986,0.9245,0.09,0.92415,0.76155,Enn-ssga
balance,0.8924,0.8675,0.8001,0.7526,0.7298,0.7682,0.79865,0.7412,Enn-ssga
bands,0.8313,0.685,0.6312,0.3014,0.7701,0.4592,0.72755,0.53575,Enn-ssga
contraceptive,0.6334,0.4609,0.434,0.1708,0.7903,3.2616,0.6256,0.48055,Enn-ssga
dermatology,0.9702,0.9387,0.9624,0.9226,0.7684,0.599,0.85355,0.8455,Enn-ssga
ecoli,0.8939,0.8422,0.846,0.7688,0.789,0.4199,0.8156,0.7789,Enn-ssga
haberman,0.8279,0.7311,0.479,0.1877,0.8108,0.3237,0.77095,0.49925,Enn-ssga
hayes-roth,0.8167,0.7063,0.7128,0.5367,0.7875,0.131,0.7469,0.6621,Enn-ssga
heart,0.9008,0.8185,0.798,0.6307,0.8019,0.3099,0.8102,0.7163,Enn-ssga
hepatitis,0.9236,0.8375,0.6029,0.1971,0.9425,0.0762,0.89,0.5698,Enn-ssga
mammographic,0.8625,0.7855,0.7249,0.5703,0.7265,1.2844,0.756,0.6484,Enn-ssga
newthyroid,0.9783,0.9399,0.9487,0.8453,0.826,0.2164,0.88295,0.83565,Enn-ssga
tae,0.755,0.5438,0.6298,0.3072,0.8278,0.126,0.6858,0.5675,Enn-ssga
vehicle,0.8144,0.6929,0.7526,0.5905,0.7273,1.4909,0.7101,0.6589,Enn-ssga
vowel,0.9787,0.9343,0.9765,0.9278,0.6441,1.7673,0.7892,0.78595,Enn-ssga
yeast,0.689,0.5701,0.5911,0.4355,0.7624,3.2192,0.66625,0.59895,Enn-ssga
banana,0.8991,0.8864,0.8065,0.7708,0.7288,2.1969,0.8076,0.7498,Enn-ssga
cardiotocography,0.891,0.8766,0.7018,0.6409,0.806,0.803,0.8413,0.72345,Enn-ssga
eye-state,0.8455,0.8005,0.6997,0.599,0.7017,13.562,0.7511,0.65035,Enn-ssga
page-blocks,0.9597,0.962,0.8156,0.7792,0.7061,2.5222,0.83405,0.74265,Enn-ssga
penbased,0.9824,0.9908,0.9816,0.9898,0.6497,8.3334,0.82025,0.81975,Enn-ssga
satimage,0.9037,0.8884,0.8833,0.862,0.7211,4.5211,0.80475,0.79155,Enn-ssga
thyroid,0.9397,0.9456,0.4656,0.4177,0.688,4.4753,0.8168,0.55285,Enn-ssga
segment,0.2051,0.1325,0.0742,-0.0121,0.9342,1.2889,0.53335,0.46105,Enn-ssga
coil2000,0.9307,0.9321,0.1334,0.0155,0.6953,16.2075,0.8137,0.3554,Enn-ssga
magic,0.8506,0.8219,0.6713,0.589,0.6946,19.2229,0.75825,0.6418,Enn-ssga
marketing,0.3668,0.2908,0.2718,0.1827,0.8889,4.5905,0.58985,0.5358,Enn-ssga
phoneme,0.8783,0.854,0.7228,0.6493,0.7404,2.3454,0.7972,0.69485,Enn-ssga
ring,0.6895,0.6382,0.3855,0.2716,0.7558,4.1515,0.697,0.5137,Enn-ssga
spambase,0.8997,0.8862,0.7988,0.7587,0.7447,3.3582,0.81545,0.7517,Enn-ssga
texture,0.9684,0.9733,0.9662,0.9706,0.6984,3.7807,0.83585,0.8345,Enn-ssga
titanic,0.7742,0.7819,0.4504,0.4549,0.8467,0.5041,0.8143,0.6508,Enn-ssga
twonorm,0.9562,0.9545,0.9225,0.9089,0.68,4.5633,0.81725,0.79445,Enn-ssga
credit-card,0.8205,0.7796,0.4251,0.2915,0.7354,21.8477,0.7575,0.51345,Enn-ssga
shuttle,0.9989,0.9988,0.9975,0.9966,0.6292,47.9571,0.814,0.8129,Enn-ssga
