iris,0.54,0.5467,0.31,0.32,0.8833,5.5023,0.715,0.60165,Rss-gga
cleveland,0.6995,0.5729,0.5127,0.2824,0.6,6.3971,0.58645,0.4412,Rss-gga
led7digit,0.5527,0.516,0.502,0.4613,0.824,11.9904,0.67,0.64265,Rss-gga
pima,0.8002,0.6972,0.5542,0.3114,0.6133,18.1228,0.65525,0.46235,Rss-gga
wdbc,0.8521,0.8519,0.6553,0.6578,0.8538,23.9792,0.85285,0.7558,Rss-gga
monk2,0.6772,0.6479,0.3484,0.2897,0.8639,12.4095,0.7559,0.5768,Rss-gga
wisconsin,0.7849,0.7956,0.4227,0.4501,0.9149,39.3925,0.85525,0.6825,Rss-gga
wine,0.5652,0.5539,0.3467,0.3296,0.8933,8.3321,0.7236,0.61145,Rss-gga
glass,0.5492,0.5655,0.3256,0.3274,0.7813,4.4381,0.6734,0.55435,Rss-gga
banknote,0.739,0.7355,0.4367,0.43,0.9587,157.409,0.8471,0.69435,Rss-gga
appendicitis,0.6647,0.6575,0.0856,0.0546,0.7925,1.7964,0.725,0.42355,Rss-gga
balance,0.4461,0.4325,0.1961,0.1813,0.9686,48.258,0.70055,0.57495,Rss-gga
bands,0.7586,0.6377,0.4917,0.2357,0.5882,9.8358,0.61295,0.41195,Rss-gga
contraceptive,0.6986,0.4528,0.5339,0.1546,0.5468,37.5165,0.4998,0.3507,Rss-gga
dermatology,0.6459,0.648,0.5522,0.5552,0.9059,16.5175,0.77695,0.73055,Rss-gga
ecoli,0.7478,0.7249,0.633,0.5976,0.7229,6.8582,0.7239,0.66025,Rss-gga
haberman,0.7321,0.6872,0.3222,0.1714,0.6794,5.1684,0.6833,0.4254,Rss-gga
hayes-roth,0.4563,0.45,0.1113,0.1064,0.7663,2.1052,0.60815,0.43635,Rss-gga
heart,0.7185,0.7148,0.419,0.4175,0.7233,5.4765,0.71905,0.5704,Rss-gga
hepatitis,0.5903,0.5875,0.1514,0.1471,0.7925,1.3769,0.69,0.4698,Rss-gga
mammographic,0.7645,0.6952,0.5278,0.3888,0.7325,21.4182,0.71385,0.56065,Rss-gga
newthyroid,0.7107,0.7255,0.0031,0.0395,0.8977,6.3003,0.8116,0.4686,Rss-gga
tae,0.4747,0.3958,0.2144,0.0949,0.6967,1.7932,0.54625,0.3958,Rss-gga
vehicle,0.7788,0.6904,0.7048,0.5867,0.6264,25.03,0.6584,0.60655,Rss-gga
vowel,0.5505,0.5333,0.5056,0.4867,0.8702,42.3341,0.70175,0.67845,Rss-gga
yeast,0.7308,0.5445,0.6486,0.4052,0.5676,40.219,0.55605,0.4864,Rss-gga
banana,0.805,0.8013,0.6016,0.5828,0.728,84.1568,0.76465,0.6554,Rss-gga
cardiotocography,0.8283,0.8282,0.4189,0.3822,0.7138,22.3631,0.771,0.548,Rss-gga
eye-state,0.7666,0.7295,0.5189,0.4281,0.6508,233.413,0.69015,0.53945,Rss-gga
page-blocks,0.9259,0.9258,0.5842,0.523,0.8192,108.789,0.8725,0.6711,Rss-gga
penbased,0.9352,0.939,0.9291,0.9323,0.5503,199.48,0.74465,0.7413,Rss-gga
satimage,0.8348,0.8182,0.8007,0.7783,0.5464,189.08,0.6823,0.66235,Rss-gga
thyroid,0.8317,0.8125,0.4056,0.2997,0.8765,168.358,0.8445,0.5881,Rss-gga
segment,0.4871,0.1623,0.4032,0.0227,0.5987,21.4625,0.3805,0.3107,Rss-gga
coil2000,0.9171,0.8938,0.3499,0.0775,0.6987,266.305,0.79625,0.3881,Rss-gga
magic,0.8032,0.7798,0.5325,0.4562,0.6845,319.285,0.73215,0.57035,Rss-gga
marketing,0.5438,0.2746,0.4821,0.174,0.5708,94.6385,0.4227,0.3724,Rss-gga
phoneme,0.7567,0.753,0.258,0.2201,0.6511,58.1494,0.70205,0.4356,Rss-gga
ring,0.9608,0.8303,0.9315,0.6595,0.523,150.511,0.67665,0.59125,Rss-gga
spambase,0.8336,0.8186,0.6403,0.5936,0.6711,90.7451,0.74485,0.63235,Rss-gga
texture,0.8847,0.8831,0.8742,0.8714,0.633,117.485,0.75805,0.7522,Rss-gga
titanic,0.675,0.682,0.0236,0.0245,0.7902,20.4498,0.7361,0.40735,Rss-gga
twonorm,0.8566,0.852,0.7232,0.7039,0.7399,184.976,0.79595,0.7219,Rss-gga
credit-card,0.8316,0.7452,0.4495,0.1684,0.5853,490.811,0.66525,0.37685,Rss-gga
shuttle,0.9983,0.9985,0.9959,0.9958,0.8312,1903.29,0.91485,0.9135,Rss-gga
