iris & 0.9689 & 0.9467 & 0.9533 & 0.9200 & 0.9753 & 0.1232 \\
cleveland & 0.6603 & 0.5582 & 0.4330 & 0.2698 & 0.9623 & 0.2902 \\
led7digit & 0.7684 & 0.7500 & 0.7422 & 0.7214 & 0.9746 & 0.4270 \\
pima & 0.8060 & 0.7304 & 0.5625 & 0.3914 & 0.9478 & 0.9977 \\
wdbc & 0.9557 & 0.9347 & 0.9031 & 0.8573 & 0.9886 & 0.8044 \\
monk2 & 0.9035 & 0.8818 & 0.8066 & 0.7638 & 0.9799 & 0.4537 \\
wisconsin & 0.9740 & 0.9636 & 0.9427 & 0.9200 & 0.9928 & 1.2788 \\
wine & 0.9700 & 0.9353 & 0.9541 & 0.9001 & 0.9730 & 0.1844 \\
glass & 0.7596 & 0.6808 & 0.6439 & 0.5252 & 0.9509 & 0.2138 \\
banknote & 0.9930 & 0.9898 & 0.9859 & 0.9793 & 0.9821 & 2.4199 \\
appendicitis & 0.9422 & 0.9038 & 0.7179 & 0.4875 & 0.9755 & 0.1132 \\
balance & 0.8688 & 0.8709 & 0.7541 & 0.7582 & 0.9848 & 0.8330 \\
bands & 0.7455 & 0.7061 & 0.4134 & 0.3239 & 0.9636 & 0.3674 \\
contraceptive & 0.6579 & 0.4773 & 0.4676 & 0.1875 & 0.8264 & 2.3649 \\
dermatology & 0.9473 & 0.9369 & 0.9333 & 0.9196 & 0.9749 & 0.3946 \\
ecoli & 0.8466 & 0.8089 & 0.7733 & 0.7152 & 0.9649 & 0.3800 \\
haberman & 0.7908 & 0.7317 & 0.3173 & 0.1412 & 0.9853 & 0.2903 \\
hayes-roth & 0.7035 & 0.5188 & 0.5274 & 0.2341 & 0.9400 & 0.1418 \\
heart & 0.8527 & 0.7963 & 0.7000 & 0.5835 & 0.9807 & 0.2551 \\
hepatitis & 0.9000 & 0.8500 & 0.3634 & 0.1257 & 0.9775 & 0.0793 \\
mammographic & 0.8340 & 0.8133 & 0.6680 & 0.6262 & 0.9753 & 1.1150 \\
newthyroid & 0.9669 & 0.9438 & 0.9199 & 0.8531 & 0.9814 & 0.2253 \\
tae & 0.6748 & 0.5238 & 0.5093 & 0.2817 & 0.9219 & 0.1172 \\
vehicle & 0.7819 & 0.6408 & 0.7091 & 0.5206 & 0.9058 & 1.0728 \\
vowel & 0.8688 & 0.7899 & 0.8557 & 0.7689 & 0.8494 & 1.2532 \\
yeast & 0.6538 & 0.5411 & 0.5463 & 0.3986 & 0.8846 & 2.3610 \\
 & 0.8383 & 0.7779 & 0.6963 & 0.5836 & 0.9546 & 0.7137 \\
 &  &  &  &  &  &  \\
banana & 0.8809 & 0.8832 & 0.7687 & 0.7631 & 0.9713 & 2.4651 \\
cardiotocography & 0.8730 & 0.8765 & 0.6594 & 0.6501 & 0.9763 & 0.8185 \\
eye-state & 0.7984 & 0.7672 & 0.5977 & 0.5229 & 0.8514 & 10.3898 \\
page-blocks & 0.9387 & 0.9466 & 0.6831 & 0.6805 & 0.9928 & 3.6991 \\
penbased & 0.9728 & 0.9798 & 0.9709 & 0.9776 & 0.9293 & 6.9140 \\
satimage & 0.8643 & 0.8622 & 0.8349 & 0.8299 & 0.9627 & 3.9961 \\
thyroid & 0.9340 & 0.9421 & 0.3929 & 0.3818 & 0.9919 & 4.2709 \\
segment & 0.2340 & 0.1528 & 0.1080 & 0.0116 & 0.9190 & 0.9589 \\
coil2000 & 0.9246 & 0.9320 & 0.0466 & 0.0223 & 0.9901 & 9.2795 \\
magic & 0.8127 & 0.8075 & 0.5797 & 0.5532 & 0.9313 & 15.2582 \\
marketing & 0.3830 & 0.2894 & 0.2947 & 0.1862 & 0.8809 & 3.3203 \\
phoneme & 0.8035 & 0.8066 & 0.5439 & 0.5374 & 0.9815 & 2.7217 \\
ring & 0.9204 & 0.9134 & 0.8507 & 0.8266 & 0.9381 & 6.3558 \\
spambase & 0.8635 & 0.8660 & 0.7260 & 0.7205 & 0.9794 & 2.4941 \\
texture & 0.9387 & 0.9442 & 0.9335 & 0.9386 & 0.9372 & 2.7477 \\
titanic & 0.7672 & 0.7751 & 0.4304 & 0.4353 & 0.9918 & 0.7916 \\
twonorm & 0.9478 & 0.9546 & 0.9055 & 0.9092 & 0.9841 & 4.1837 \\
 & 0.8151 & 0.8058 & 0.6074 & 0.5851 & 0.9535 & 4.7450 \\
 &  &  &  &  &  &  \\
credit-card & 0.7973 & 0.7948 & 0.3250 & 0.3120 & 0.9836 & 18.1931 \\
shuttle & 0.9970 & 0.9976 & 0.9933 & 0.9932 & 0.9801 & 64.0352 \\
 & 0.8972 & 0.8962 & 0.6591 & 0.6526 & 0.9819 & 41.1142 \\
