iris & 0.9726 & 0.9400 & 0.9589 & 0.9100 & 0.9727 & 0.2681 \\
cleveland & 0.6992 & 0.6059 & 0.4858 & 0.3448 & 0.9556 & 1.0823 \\
led7digit & 0.7669 & 0.7280 & 0.7407 & 0.6967 & 0.9742 & 1.4398 \\
pima & 0.8080 & 0.7400 & 0.5662 & 0.4072 & 0.9727 & 6.1474 \\
wdbc & 0.9670 & 0.9398 & 0.9286 & 0.8712 & 0.9919 & 3.9374 \\
monk2 & 0.9264 & 0.8863 & 0.8527 & 0.7721 & 0.9782 & 2.3380 \\
wisconsin & 0.9769 & 0.9665 & 0.9492 & 0.9264 & 0.9937 & 8.1878 \\
wine & 0.9737 & 0.9294 & 0.9600 & 0.8931 & 0.9787 & 0.3840 \\
glass & 0.7976 & 0.6688 & 0.7010 & 0.5058 & 0.9322 & 0.4620 \\
banknote & 0.9945 & 0.9934 & 0.9888 & 0.9867 & 0.9914 & 16.3687 \\
appendicitis & 0.9434 & 0.8938 & 0.7176 & 0.4961 & 0.9717 & 0.2145 \\
balance & 0.8823 & 0.8770 & 0.7797 & 0.7696 & 0.9891 & 4.7406 \\
bands & 0.7808 & 0.6224 & 0.5058 & 0.1368 & 0.9496 & 1.3912 \\
contraceptive & 0.6280 & 0.4801 & 0.4201 & 0.1944 & 0.9347 & 20.4189 \\
dermatology & 0.9450 & 0.9146 & 0.9297 & 0.8913 & 0.9768 & 1.4266 \\
ecoli & 0.8568 & 0.8189 & 0.7914 & 0.7371 & 0.9560 & 1.2293 \\
haberman & 0.8101 & 0.7300 & 0.4011 & 0.1513 & 0.9752 & 1.7327 \\
hayes-roth & 0.6833 & 0.5875 & 0.5102 & 0.3519 & 0.9406 & 0.3744 \\
heart & 0.8691 & 0.8333 & 0.7328 & 0.6602 & 0.9778 & 0.8880 \\
hepatitis & 0.8958 & 0.8500 & 0.4275 & 0.1914 & 0.9750 & 0.0999 \\
mammographic & 0.8463 & 0.8313 & 0.6924 & 0.6623 & 0.9878 & 8.7594 \\
newthyroid & 0.9498 & 0.9275 & 0.8730 & 0.8136 & 0.9847 & 0.7880 \\
tae & 0.7042 & 0.5300 & 0.5526 & 0.2789 & 0.9026 & 0.2229 \\
vehicle & 0.7782 & 0.6560 & 0.7043 & 0.5415 & 0.9349 & 6.7902 \\
vowel & 0.8299 & 0.7475 & 0.8128 & 0.7222 & 0.8881 & 11.5964 \\
yeast & 0.6746 & 0.5689 & 0.5729 & 0.4341 & 0.9510 & 19.3274 \\
 & 0.8446 & 0.7795 & 0.7137 & 0.5903 & 0.9630 & 4.6391 \\
 &  &  &  &  &  &  \\
banana & 0.8694 & 0.8760 & 0.7437 & 0.7468 & 0.9740 & 23.4139 \\
cardiotocography & 0.8226 & 0.8371 & 0.4657 & 0.4626 & 0.9920 & 2.9228 \\
eye-state & 0.7464 & 0.7364 & 0.4971 & 0.4665 & 0.9637 & 152.6790 \\
page-blocks & 0.9288 & 0.9360 & 0.6430 & 0.6366 & 0.9949 & 25.5404 \\
penbased & 0.9665 & 0.9728 & 0.9639 & 0.9698 & 0.8778 & 422.8700 \\
satimage & 0.8535 & 0.8552 & 0.8214 & 0.8211 & 0.9694 & 42.2098 \\
thyroid & 0.9333 & 0.9421 & 0.4113 & 0.4047 & 0.9964 & 32.8508 \\
segment & 0.2506 & 0.1372 & 0.1274 & -0.0066 & 0.8956 & 3.6726 \\
coil2000 & 0.9089 & 0.9131 & 0.0702 & 0.0289 & 0.9938 & 75.3100 \\
magic & 0.8068 & 0.8080 & 0.5762 & 0.5662 & 0.9845 & 221.9630 \\
marketing & 0.2934 & 0.2611 & 0.1928 & 0.1544 & 0.9611 & 27.8332 \\
phoneme & 0.7951 & 0.8005 & 0.5122 & 0.5107 & 0.9918 & 19.1806 \\
ring & 0.8637 & 0.8573 & 0.7370 & 0.7140 & 0.9596 & 42.5625 \\
spambase & 0.8600 & 0.8681 & 0.7192 & 0.7258 & 0.9902 & 10.0464 \\
texture & 0.9277 & 0.9316 & 0.9215 & 0.9248 & 0.9064 & 50.5114 \\
titanic & 0.6995 & 0.7342 & 0.2370 & 0.2324 & 0.9951 & 3.0863 \\
twonorm & 0.9444 & 0.9520 & 0.8987 & 0.9041 & 0.9946 & 26.4229 \\
 & 0.7924 & 0.7893 & 0.5611 & 0.5449 & 0.9671 & 69.5927 \\
 &  &  &  &  &  &  \\
credit-card & 0.8022 & 0.8023 & 0.2749 & 0.2739 & 0.9979 & 100.2660 \\
shuttle & 0.9978 & 0.9982 & 0.9945 & 0.9948 & 0.9513 & 955.5570 \\
 & 0.9000 & 0.9002 & 0.6347 & 0.6343 & 0.9746 & 527.9115 \\
