iris & 0.9763 & 0.9667 & 0.9644 & 0.9500 & 0.9527 & 0.2457 \\
cleveland & 0.7247 & 0.5631 & 0.5525 & 0.3053 & 0.8508 & 0.3319 \\
led7digit & 0.7180 & 0.6620 & 0.6859 & 0.6230 & 0.9114 & 0.6265 \\
pima & 0.8157 & 0.7164 & 0.5872 & 0.3737 & 0.8465 & 1.2026 \\
wdbc & 0.9643 & 0.9413 & 0.9217 & 0.8718 & 0.9545 & 1.3163 \\
monk2 & 0.8809 & 0.8167 & 0.7623 & 0.6332 & 0.9153 & 0.6187 \\
wisconsin & 0.9745 & 0.9651 & 0.9436 & 0.9237 & 0.9630 & 1.9268 \\
wine & 0.9862 & 0.9725 & 0.9792 & 0.9582 & 0.9573 & 0.2952 \\
glass & 0.8308 & 0.7267 & 0.7611 & 0.6090 & 0.8710 & 0.2159 \\
banknote & 0.9960 & 0.9956 & 0.9920 & 0.9911 & 0.9622 & 4.4683 \\
appendicitis & 0.9623 & 0.9138 & 0.8455 & 0.6281 & 0.9623 & 0.1313 \\
balance & 0.8597 & 0.8335 & 0.7399 & 0.6901 & 0.9483 & 1.3446 \\
bands & 0.8149 & 0.6245 & 0.5968 & 0.1818 & 0.8323 & 0.4596 \\
contraceptive & 0.6243 & 0.4583 & 0.4174 & 0.1633 & 0.7886 & 2.9997 \\
dermatology & 0.9659 & 0.9364 & 0.9566 & 0.9194 & 0.9453 & 0.6027 \\
ecoli & 0.8641 & 0.7814 & 0.8034 & 0.6854 & 0.8979 & 0.4327 \\
haberman & 0.8094 & 0.7189 & 0.3919 & 0.0827 & 0.9007 & 0.3774 \\
hayes-roth & 0.7903 & 0.5938 & 0.6735 & 0.3597 & 0.8531 & 0.1580 \\
heart & 0.8774 & 0.7963 & 0.7516 & 0.5891 & 0.9052 & 0.3431 \\
hepatitis & 0.9222 & 0.8875 & 0.6251 & 0.4514 & 0.9638 & 0.0922 \\
mammographic & 0.8380 & 0.7916 & 0.6758 & 0.5825 & 0.8937 & 1.4353 \\
newthyroid & 0.9716 & 0.9485 & 0.9274 & 0.8601 & 0.9600 & 0.3301 \\
tae & 0.7586 & 0.4708 & 0.6371 & 0.1988 & 0.8238 & 0.1111 \\
vehicle & 0.7849 & 0.6482 & 0.7130 & 0.5304 & 0.8395 & 1.4432 \\
vowel & 0.9210 & 0.8384 & 0.9131 & 0.8222 & 0.7868 & 1.6671 \\
yeast & 0.6775 & 0.5197 & 0.5787 & 0.3699 & 0.8041 & 3.1249 \\
 & 0.8581 & 0.7726 & 0.7460 & 0.5905 & 0.8958 & 1.0116 \\
 &  &  &  &  &  &  \\
banana & 0.8901 & 0.8908 & 0.7860 & 0.7769 & 0.8852 & 2.8499 \\
cardiotocography & 0.8781 & 0.8771 & 0.6600 & 0.6389 & 0.9514 & 1.1030 \\
eye-state & 0.8008 & 0.7667 & 0.6007 & 0.5196 & 0.8122 & 13.0538 \\
page-blocks & 0.9450 & 0.9512 & 0.7343 & 0.7219 & 0.9671 & 5.5642 \\
penbased & 0.9805 & 0.9885 & 0.9795 & 0.9873 & 0.8067 & 8.6334 \\
satimage & 0.8792 & 0.8716 & 0.8536 & 0.8420 & 0.8119 & 5.1614 \\
thyroid & 0.9050 & 0.8997 & 0.4760 & 0.3767 & 0.9155 & 5.7662 \\
segment & 0.3390 & 0.1498 & 0.2305 & 0.0081 & 0.7916 & 0.9479 \\
coil2000 & 0.9204 & 0.9246 & 0.1088 & 0.0262 & 0.9177 & 12.1242 \\
magic & 0.8165 & 0.8027 & 0.5834 & 0.5351 & 0.8615 & 19.2977 \\
marketing & 0.4480 & 0.2737 & 0.3721 & 0.1717 & 0.7637 & 3.9325 \\
phoneme & 0.8366 & 0.8301 & 0.5915 & 0.5566 & 0.8713 & 2.8382 \\
ring & 0.9224 & 0.8915 & 0.8547 & 0.7827 & 0.8250 & 7.4582 \\
spambase & 0.8903 & 0.8849 & 0.7799 & 0.7573 & 0.8722 & 2.9937 \\
texture & 0.9568 & 0.9602 & 0.9534 & 0.9562 & 0.8459 & 3.3894 \\
titanic & 0.7629 & 0.7696 & 0.4047 & 0.4065 & 0.9804 & 1.2767 \\
twonorm & 0.9410 & 0.9441 & 0.8920 & 0.8881 & 0.8932 & 5.5177 \\
 & 0.8302 & 0.8045 & 0.6389 & 0.5854 & 0.8690 & 5.9946 \\
 &  &  &  &  &  &  \\
credit-card & 0.7956 & 0.7669 & 0.3534 & 0.2589 & 0.8467 & 22.9713 \\
shuttle & 0.9980 & 0.9983 & 0.9951 & 0.9953 & 0.9387 & 92.6277 \\
 & 0.8968 & 0.8826 & 0.6743 & 0.6271 & 0.8927 & 57.7995 \\
